Season	Team Name	Games	Losses	Points
1937	Vancouver Burrard Olympics	28	20	16
1938	Vancouver Burrards	24	10	28
1939	Vancouver Burrards	24	5	38
1940	Vancouver Burrards	24	7	36
1941	Vancouver Burrards	24	7	34
1942	Vancouver Burrards	24	9	29
1943	Vancouver Burrards	18	8	20
1944	Vancouver Burrards	24	14	20
1945	Vancouver Burrards	24	4	40
1946	Vancouver Burrards	24	11	25
1947	Vancouver Burrards	24	8	31
1948	Vancouver Burrards	24	8	32
1949	Vancouver Burrards	16	7	18
1950	Vancouver Burrard Westerns	30	16	28
1951	Vancouver Combines	32	14	35
1952	Vancouver Pilseners	32	15	34
1953	Vancouver Pilseners	32	12	39
1954	Vancouver Pilseners	32	18	28
1955	Vancouver Pilseners	32	20	24
1956	Vancouver Pilseners	30	13	33
1957	Vancouver Pilseners	30	20	20
1958	Vancouver Pilseners	30	13	33
1959	Vancouver Carlings	30	14	31
1960	Vancouver Carlings	30	10	40
1961	Vancouver Carlings	30	9	40
1962	Vancouver Carlings	32	6	52
1963	Vancouver Carlings	30	7	45
1964	Vancouver Carlings	32	9	46
1965	Vancouver Carlings	30	10	40
1966	Vancouver Carlings	30	14	31
1967	Vancouver Carlings	30	12	34
1968	Vancouver Carlings	38	16	44
1969	Vancouver Carlings	29	20	18
1970	Vancouver Burrards	30	14	32
1971	Vancouver Burrards	31	18	25
1972	Vancouver Burrards	36	17	38
1973	Vancouver Burrards	25	8	34
1974	Vancouver Burrards	24	13	22
1975	Vancouver Burrards	24	10	28
1976	Vancouver Burrards	24	14	20
1977	Vancouver Burrards	24	7	33
1978	Vancouver Burrards	24	13	22
1979	Vancouver Burrards	30	19	22
1980	Vancouver Burrards	24	13	22
1981	Vancouver Burrards	24	12	24
1982	Vancouver Burrards	24	12	24
1983	Vancouver Burrards	24	10	28
1984	Vancouver Burrards	24	15	18
1985	Vancouver Burrards	24	13	22
1986	Vancouver Burrards	24	11	26
1987	Vancouver Burrards	24	14	20
1988	Vancouver Burrards	24	13	22
1989	Vancouver Burrards	24	15	18
1990	Vancouver Burrards	24	8	32
1991	Vancouver Burrards	24	16	16
1992	Vancouver Burrards	24	15	18
1993	Vancouver Burrards	24	20	8
1994	Surrey Burrards	20	12	16
1995	Surrey Burrards	25	19	11
1996	Maple Ridge Burrards	20	8	23
1997	Maple Ridge Burrards	20	8	23
1998	Maple Ridge Burrards	25	8	32
1999	Maple Ridge Burrards	25	15	20
2000	Maple Ridge Burrards	25	16	18
2001	Maple Ridge Burrards	20	16	8
2002	Maple Ridge Burrards	20	15	8
2003	Maple Ridge Burrards	20	15	10
2004	Maple Ridge Burrards	20	12	16
2005	Maple Ridge Burrards	18	8	19
2006	Maple Ridge Burrards	18	11	14
2007	Maple Ridge Burrards	18	11	14
2008	Maple Ridge Burrards	18	13	10
2009	Maple Ridge Burrards	18	11	14
2010	Maple Ridge Burrards	18	9	18
Total	74 seasons	1,879	913	1,916
