Date	Visitor	Score	Home	Record
February 1	Detroit	4 – 1	St. Louis	23–17–9
February 2	Dallas	3 – 4	Detroit	24–17–9
February 4	St. Louis	1 – 1	Detroit	24–17–10
February 6	Vancouver	7 – 4	Detroit	24–18–10
February 8	Detroit	6 – 5	Pittsburgh	25–18–10
February 12	San Jose	1 – 7	Detroit	26–18–10
February 14	Detroit	3 – 4	Dallas	26–19–10
February 16	Detroit	4 – 2	Florida	27–19–10
February 17	Detroit	3 – 3	Tampa Bay	27–19–11
February 19	Calgary	0 – 4	Detroit	28–19–11
February 22	Detroit	2 – 2	St. Louis	28–19–12
February 24	Detroit	5 – 3	Phoenix	29–19–12
February 27	Pittsburgh	1 – 4	Detroit	30–19–12
