Stage	Start	Arrival	Duration	Difficulty
1	Maó	Es Grau	3 h 30 min	Middle
2	Es Grau	Favàritx	3 h 30 min	Middle
3	Favàritx	Arenal d'en Castell	5 h	Middle
4	Arenal d'en Castell	Cala Tirant	4 h	Easy
5	Cala Tirant	Binimel·là	4 h	Middle
6	Binimel·là	Els Alocs	5 h	Difficult
7	Els Alocs	Algaiarens	4 h 30 min	Middle
8	Algaiarens	Cala Morell	2 h 10 min	Middle
9	Cala Morell	Punta Nati	3 h	Easy
10	Punta Nati	Ciutadella	4 h	Easy
11	Ciutadella	Punta d’Artrutx	5 h	Difficult
12	Punta d'Artrutx	Cala en Turqueta	5 h	Middle
13	Cala en Turqueta	Cala Galdana	2 h 30 min	Easy
14	Cala Galdana	Sant Tomàs	4 h 30 min	Middle
15	Sant Tomàs	Son Bou	2 h 30 min	Easy
16	Son Bou	Cala en Porter	3 h 30 min	Middle
17	Cala en Porter	Binisafúller	4 h 30 min	Easy
18	Binisafúller	Punta Prima	3 h 30 min	Easy
19	Punta Prima	Cala de Sant Esteve	2 h 40 min	Easy
20	Cala de Sant Esteve	Maó	2 h 20 min	Easy
