Administrative division	Area (km²)	Population 2000 Census	Population (2010 Census)	Population density 2010 (/km²)
Belford Roxo	79	434,474	469,261	5940
Duque de Caxias	464.5	775,456	855,046	1840
Guapimirim	361	37,952	51,487	143
Itaboraí	424.2	187,479	218,090	514
Japeri	82.9	83,278	95,391	1151
Magé	386.6	205,830	228,150	590
Mesquita	34.8	0	168,403	4839
Nilópolis	19.4	153,712	157,483	8118
Niterói	129.3	459,451	487,327	3769
Nova Iguaçu	523.8	920,599	797,212	1518
Queimados	77	121,993	137,938	1791
Rio de Janeiro	1260	5,857,904	6,323,037	5018
São Gonçalo	249.1	891,119	1013,901	4014
São João de Meriti	34.8	449,476	459,356	13200
Seropédica	284	65,260	78,183	275
Tanguá	147	26,057	30,731	209
Metropolitan Rio Janeiro	4,557.4	10,670,040	12,603,936	2535
