Constructor	Chassis	Engine	Tyre	Driver	Rounds
Tyrrell - Ford	001	Ford Cosworth DFV 3.0 V8	D	Jackie Stewart	11-13
March - Ford	701	Ford Cosworth DFV 3.0 V8	D	Jackie Stewart	1-10
March - Ford	701	Ford Cosworth DFV 3.0 V8	D	Johnny Servoz-Gavin	1-3
March - Ford	701	Ford Cosworth DFV 3.0 V8	D	François Cevert	5-13
Matra	MS120	Matra MS12 3.0 V12	G	Jean-Pierre Beltoise	All
Matra	MS120	Matra MS12 3.0 V12	G	Henri Pescarolo	All
McLaren - Ford	M14A M14D	Ford Cosworth DFV 3.0 V8	G	Bruce McLaren	1-3
McLaren - Ford	M14A M14D	Ford Cosworth DFV 3.0 V8	G	Denny Hulme	1-3, 6-13
McLaren - Ford	M14A M14D	Ford Cosworth DFV 3.0 V8	G	Peter Gethin	5, 8-13
McLaren - Ford	M14A M14D	Ford Cosworth DFV 3.0 V8	G	Dan Gurney	5-7
McLaren - Alfa Romeo	M7D M14D	Alfa Romeo T33 3.0 V8	G	Andrea de Adamich	2-3, 5-12
McLaren - Alfa Romeo	M7D M14D	Alfa Romeo T33 3.0 V8	G	Nanni Galli	10
McLaren - Ford	M7C M7A	Ford Cosworth DFV 3.0 V8	F	John Surtees	1-3, 5
Surtees - Ford	TS7	Ford Cosworth DFV 3.0 V8	F	John Surtees	7-13
Surtees - Ford	TS7	Ford Cosworth DFV 3.0 V8	F	Derek Bell	12
March - Ford	701	Ford Cosworth DFV 3.0 V8	F	Mario Andretti	1-2, 7-9
Lotus - Ford	49C 72A 72B	Ford Cosworth DFV 3.0 V8	F	Jochen Rindt	1-10
Lotus - Ford	49C 72A 72B	Ford Cosworth DFV 3.0 V8	F	John Miles	1-10
Lotus - Ford	49C 72A 72B	Ford Cosworth DFV 3.0 V8	F	Alex Soler-Roig	2, 4, 6
Lotus - Ford	49C 72A 72B	Ford Cosworth DFV 3.0 V8	F	Emerson Fittipaldi	7-10, 12-13
Lotus - Ford	49C 72A 72B	Ford Cosworth DFV 3.0 V8	F	Reine Wisell	12-13
Lotus - Ford	49C 72C	Ford Cosworth DFV 3.0 V8	F	Graham Hill	1-8, 10-13
Brabham - Ford	BT33	Ford Cosworth DFV 3.0 V8	G	Jack Brabham	All
Brabham - Ford	BT33	Ford Cosworth DFV 3.0 V8	G	Rolf Stommelen	All
March - Ford	701	Ford Cosworth DFV 3.0 V8	F	Chris Amon	All
March - Ford	701	Ford Cosworth DFV 3.0 V8	F	Jo Siffert	All
Ferrari	312B	Ferrari 001 3.0 F12	F	Jacky Ickx	All
Ferrari	312B	Ferrari 001 3.0 F12	F	Ignazio Giunti	4, 6, 9-10
Ferrari	312B	Ferrari 001 3.0 F12	F	Clay Regazzoni	5, 7-13
BRM	P153 P139	BRM P142 3.0 V12	D	Jackie Oliver	All
BRM	P153 P139	BRM P142 3.0 V12	D	Pedro Rodríguez	All
BRM	P153 P139	BRM P142 3.0 V12	D	George Eaton	1-3, 5-7, 9-12
BRM	P153 P139	BRM P142 3.0 V12	D	Peter Westbury	12
De Tomaso - Ford	505	Ford Cosworth DFV 3.0 V8	D	Piers Courage	1-5
De Tomaso - Ford	505	Ford Cosworth DFV 3.0 V8	D	Brian Redman	7-8
De Tomaso - Ford	505	Ford Cosworth DFV 3.0 V8	D	Tim Schenken	9-12
Lotus - Ford	49	Ford Cosworth DFV 3.0 V8	D	John Love	1
Brabham - Ford	BT26A	Ford Cosworth DFV 3.0 V8	G	Peter de Klerk	1
Lotus - Ford	49C	Ford Cosworth DFV 3.0 V8	F	Dave Charlton	1
March - Ford	701	Ford Cosworth DFV 3.0 V8	G	Ronnie Peterson	3-8, 10-12
Brabham - Ford	BT26A	Ford Cosworth DFV 3.0 V8	G	Derek Bell	4
Bellasi - Ford	F1 70	Ford Cosworth DFV 3.0 V8	G	Silvio Moser	5-6, 8-10
Lotus - Ford	49B	Ford Cosworth DFV 3.0 V8	F	Pete Lovely	5-7, 12
March - Ford	701	Ford Cosworth DFV 3.0 V8	F	Hubert Hahne	8
McLaren - Ford	M7C	Ford Cosworth DFV 3.0 V8	G	Joakim Bonnier	10, 12
Brabham - Ford	BT26A	Ford Cosworth DFV 3.0 V8	G	Gus Hutchison	12
