Driver	Team	Laps	Time/Retired	Grid	Points
Paul Tracy	Forsythe Racing	85	1:34:42.849	1	34
Michel Jourdain, Jr.	RuSPORT	85	+5.557 secs	12	29
A. J. Allmendinger	RuSPORT	85	+6.139 secs	11	25
Bruno Junqueira	Newman/Haas Racing	85	+6.544 secs	8	23
Sébastien Bourdais	Newman/Haas Racing	85	+14.231 secs	3	22
Mario Domínguez	Herdez Competition	85	+15.834 secs	4	20
Alex Tagliani	Rocketsports Racing	85	+32.168 secs	9	17
Ryan Hunter-Reay	Herdez Competition	85	+32.619 secs	10	15
Mario Haberfeld	Walker Racing	85	+43.671 secs	14	13
Jimmy Vasser	PKV Racing	84	+ 1 Lap	15	11
Memo Gidley	Rocketsports Racing	84	+ 1 Lap	5	10
Oriol Servià	Dale Coyne Racing	84	+ 1 Lap	13	9
Roberto González	PKV Racing	83	+ 2 Laps	16	8
Justin Wilson	Mi-Jack Conquest Racing	80	+ 5 Laps	7	7
Rodolfo Lavín	Forsythe Racing	66	Engine	2	7
Patrick Carpentier	Forsythe Racing	21	Contact	6	5
Alex Sperafico	Mi-Jack Conquest Racing	17	Contact	17	4
Gastón Mazzacane	Dale Coyne Racing	0	DNS	18	0*
