Season	Round	Country	Club	Home	Away	Aggregate
1992–93 European Cup Winners' Cup	R1	Germany	Werder Bremen	2–1	1–3	3–4
2011–12 UEFA Europa League	Play-off	Spain	Sevilla	2–1	1–1	3–2
2011–12 UEFA Europa League	Group	Belgium	Standard Liège	0–0	0–2	0–2
2011–12 UEFA Europa League	Group	Denmark	Copenhagen	2–2	2–1	4–3
2011–12 UEFA Europa League	Group	Ukraine	Vorskla Poltava	3–1	2–1	5–2
2011–12 UEFA Europa League	Round of 32	Belgium	Club Brugge	2–1	1–0	3–1
2011–12 UEFA Europa League	Round of 16	Belgium	Standard Liège	4–0	2–2	6–2
2011–12 UEFA Europa League	Quarterfinals	Spain	Atlético Madrid	1–2	1–2	2–4
2012–13 UEFA Europa League	Q3	Ireland	St. Patrick's Athletic	2–0	3–0	5–0
2012–13 UEFA Europa League	Play-off	Poland	Śląsk Wrocław	5–1	5–3	10–4
2012–13 UEFA Europa League	Group	Netherlands	Twente	0–0	2–2	2–2
2012–13 UEFA Europa League	Group	Spain	Levante	2–1	2–2	4–3
2012–13 UEFA Europa League	Group	Sweden	Helsingborg	3–2	2–1	5–3
2012–13 UEFA Europa League	Round of 32	Russia	Anzhi Makhachkala	1–1	1–3	2–4
