Date	Course	Distance	Type	Winner
25 April	Valladolid	km (mi)	Individual time trial	Tony Rominger ( SUI )
26 April	Valladolid to Salamanca	km (mi)	Plain stage	Laurent Jalabert ( FRA )
27 April	Salamanca to Cáceres	km (mi)	Plain stage	Laurent Jalabert ( FRA )
28 April	Almendralejo to Córdoba	km (mi)	Plain stage	Endrio Leoni ( ITA )
29 April	Córdoba to Granada	km (mi)	Plain stage	Laurent Jalabert ( FRA )
30 April	Granada to Sierra Nevada	km (mi)	Stage with mountain(s)	Tony Rominger ( SUI )
1 May	Baza to Alicante	km (mi)	Plain stage	Simone Biasci ( ITA )
2 May	Benidorm to Benidorm	km (mi)	Individual time trial	Tony Rominger ( SUI )
3 May	Benidorm to Valencia	km (mi)	Plain stage	Jean-Paul van Poppel ( FRA )
4 May	Igualada to Andorra-Arcalís ( Andorra )	km (mi)	Stage with mountain(s)	Ángel Camargo ( COL )
5 May	Andorra la Vella ( Andorra ) to Cerler	km (mi)	Stage with mountain(s)	Tony Rominger ( SUI )
6 May	Benasque to Zaragoza	km (mi)	Plain stage	Laurent Jalabert ( FRA )
7 May	Zaragoza to Pamplona	km (mi)	Plain stage	Laurent Jalabert ( FRA )
8 May	Pamplona to Sierra de la Demanda	km (mi)	Stage with mountain(s)	Tony Rominger ( SUI )
9 May	Santo Domingo de la Calzada to Santander	km (mi)	Hilly stage	Alessio Di Basco ( ITA )
10 May	Santander to Lakes of Covadonga	km (mi)	Stage with mountain(s)	Laurent Jalabert ( FRA )
11 May	Cangas de Onís to Monte Naranco	km (mi)	Stage with mountain(s)	Bart Voskamp ( NED )
12 May	Ávila to Ávila	km (mi)	Stage with mountain(s)	Giuseppe Calcaterra ( ITA )
13 May	Ávila to Palazuelos de Eresma	km (mi)	Stage with mountain(s)	Marino Alonso ( ESP )
14 May	Segovia to Palazuelos de Eresma	km (mi)	Individual time trial	Tony Rominger ( SUI )
15 May	Palazuelos de Eresma to Madrid	km (mi)	Plain stage	Laurent Jalabert ( FRA )
Total	Total	km (mi)	km (mi)	km (mi)
