Tournament	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	A	A	A	A	A	1R	Q1	1R	1R	A	2R	A
French Open	A	A	A	A	A	A	1R	3R	4R	3R	2R	3R	A
Wimbledon	A	A	A	A	A	A	1R	2R	1R	2R	1R	2R	A
US Open	A	A	A	A	A	A	1R	1R	3R	1R	1R	2R	2R
Win–Loss	0–0	0–0	0–0	0–0	0–0	0–0	0–4	3–3	5–4	3–4	1–3	5–4	1–1
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	Not Held	Not Held	Not Held	A	Not Held	Not Held	Not Held	A	Not Held	Not Held	Not Held	2R	NH
Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships	Year-End Championships
WTA Tour Championships	A	A	A	A	A	A	A	A	A	A	A	A	A
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	A	A	A	A	A	1R	Q2	3R	2R	Q1	1R	A
Miami	A	A	A	A	Q1	A	1R	2R	2R	2R	A	3R	1R
Madrid	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	2R	1R	A	A	A
Beijing	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	3R	A	A	A	1R
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Doha	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	A	Not P5	Not P5	Not P5	1R	A
Dubai	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	A	A	A	NP5	NP5
Rome	A	A	A	A	A	A	A	A	2R	A	A	1R	A
Canada	A	A	Q1	1R	1R	1R	2R	2R	1R	1R	2R	QF	A
Cincinnati	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	2R	A	A	A	A
Tokyo	A	A	A	A	A	Q1	A	1R	3R	A	A	A	2R
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Tournaments Played	1	4	4	6	15	26	28	23	25	18	15	21	7
Titles–Finals	0–0	0–0	0–0	0–0	0–0	0–0	0–1	1–0	0–1	0–0	0–0	0–0	0–0
Overall Win–Loss	2–1	11–3	2–4	11–6	44–13	43–24	22–29	40–22	30–25	14–18	28–14	35–19	2–7
Win %	67%	79%	33%	65%	79%	64%	43%	65%	55%	44%	67%	65%	22%
Year-End Ranking	–	569	878	491	190	91	130	34	35	126	105	43	277
