Driver	Car #	Make	Points	Laps	Winnings
Greg Biffle	16	Ford	190	367	$290,175
Jeff Gordon	24	Chevrolet	175	367	$223,161
Matt Kenseth	17	Ford	170	367	$205,291
Jimmie Johnson	48	Chevrolet	165	367	$165,311
Dale Earnhardt Jr.	8	Chevrolet	155	367	$152,916
Ryan Newman	12	Dodge	155	367	$139,333
Kyle Busch	5	Chevrolet	151	367	$120,625
Mark Martin	6	Ford	142	367	$105,625
Jeff Burton	31	Chevrolet	138	367	$115,320
Denny Hamlin *	11	Chevrolet	134	367	$97,900
Reed Sorenson *	41	Dodge	130	367	$94,375
Tony Stewart	20	Chevrolet	127	367	$133,386
Robby Gordon	7	Chevrolet	129	367	$85,225
Martin Truex Jr. *	1	Chevrolet	121	367	$108,408
Ken Schrader	21	Ford	118	366	$109,814
Joe Nemechek	1	Chevrolet	115	366	$106,995
Casey Mears	42	Dodge	112	366	$113,908
Kyle Petty	45	Dodge	109	366	$103,133
Kurt Busch	2	Dodge	106	366	$115,633
Tony Raines	96	Chevrolet	103	366	$76,725
Kasey Kahne	9	Dodge	105	366	$126,439
Bobby Labonte	43	Dodge	97	366	$113,136
Clint Bowyer *	7	Chevrolet	94	365	$84,400
Dale Jarrett	88	Ford	96	365	$106,750
David Stremme *	40	Dodge	88	365	$96,533
J.J. Yeley *	18	Chevrolet	85	365	$107,775
Dave Blaney	22	Dodge	87	364	$84,158
Sterling Marlin	14	Chevrolet	79	364	$81,322
Elliott Sadler	38	Ford	76	364	$99,483
Travis Kvapil	32	Chevrolet	73	364	$71,400
Scott Riggs	10	Dodge	70	363	$68,150
Jeff Green	66	Chevrolet	67	363	$75,975
Scott Wimmer	4	Chevrolet	64	363	$68,750
Terry Labonte	44	Chevrolet	61	361	$67,675
Michael Waltrip	55	Dodge	58	359	$67,450
Kevin Lepage	49	Dodge	55	353	$67,300
Kevin Harvick	29	Chevrolet	52	350	$104,036
Jeremy Mayfield	19	Dodge	49	346	$96,866
Carl Edwards	99	Ford	46	281	$86,550
Stanton Barrett	95	Chevrolet	43	255	$66,600
Brian Vickers	25	Chevrolet	40	246	$74,475
Jamie McMurray	26	Ford	37	223	$113,200
Derrike Cope	74	Dodge	34	11	$66,577
