Game	December	Opponent	Score	Record
26	1	@ Calgary Flames	6 - 3	14-9-3
27	4	@ Edmonton Oilers	10 - 6	14-10-3
28	6	@ Vancouver Canucks	5 - 3	15-10-3
29	8	@ Hartford Whalers	5 - 4	15-11-3
30	10	@ Boston Bruins	1 - 1 OT	15-11-4
31	12	Los Angeles Kings	5 - 2	15-12-4
32	14	New York Islanders	2 - 1	16-12-4
33	17	@ Montreal Canadiens	6 - 3	16-13-4
34	19	Washington Capitals	3 - 1	17-13-4
35	21	Buffalo Sabres	5 - 2	17-14-4
36	23	@ Washington Capitals	2 - 2 OT	17-14-5
37	26	New Jersey Devils	5 - 1	18-14-5
38	27	@ New Jersey Devils	7 - 5	19-14-5
39	31	Chicago Blackhawks	4 - 1	20-14-5
