Driver	Team	Laps	Time/Retired	Grid	Points
Justin Wilson	RuSPORT	70	1:58:23.479	1	34
A. J. Allmendinger	RuSPORT	70	+3.936 secs	2	28
Paul Tracy	Forsythe Racing	70	+6.784 secs	4	25
Oriol Servià	Newman/Haas Racing	70	+9.634 secs	7	23
Timo Glock	Rocketsports Racing	70	+9.923 secs	12	21
Jimmy Vasser	PKV Racing	70	+10.477 secs	10	19
Nelson Philippe	Mi-Jack Conquest Racing	70	+13.348 secs	8	17
Alex Tagliani	Team Australia	70	+14.139 secs	11	15
Andrew Ranger	Mi-Jack Conquest Racing	70	+15.190 secs	17	14
Will Power	Team Australia	70	+16.185 secs	13	11
Michael McDowell	Rocketsports Racing	70	+18.060 secs	16	10
Mario Domínguez	Forsythe Racing	70	+18.678 secs	6	9
Charles Zwolsman	Team Australia	70	+19.459 secs	18	8
Cristiano da Matta	PKV Racing	70	+21.676 secs	5	7
Rodolfo Lavín	CTE Racing - HVM	69	+ 1 Lap	9	7
Homero Richards	CTE Racing - HVM	69	+ 1 Lap	19	5
Sébastien Bourdais	Newman/Haas Racing	61	Contact	3	4
Ricardo Sperafico	Dale Coyne Racing	54	Suspension	14	3
Ronnie Bremer	Dale Coyne Racing	18	Contact	15	2
