Week	Date	Opponent	Location	Final Score	Attendance	Record
1	June 27	@ Blue Bombers	Canad Inns Stadium	W 23 – 16	26,155	1–0
2	July 3	Tiger-Cats	Rogers Centre	L 32 – 13	30,822	1–1
3	July 10	@ Eskimos	Commonwealth Stadium	L 47 – 28	31,707	1–2
4	July 20	Eskimos	Rogers Centre	W 35 – 31	28,522	2–2
5	July 27	@ Roughriders	Mosaic Stadium	L 28 – 22	28,800	2–3
6	August 1	Blue Bombers	Rogers Centre	W 19 – 11	28,523	3–3
7	August 7	@ Tiger-Cats	Ivor Wynne Stadium	L 45 – 21	19,423	3–4
8	August 15	Alouettes	Rogers Centre	L 32 – 14	30,521	3–5
9	Bye	Bye	Bye	Bye	Bye	Bye
10	September 1	@ Tiger-Cats	Ivor Wynne Stadium	W 34 – 31	25,911	4–5
11	September 7	@ Alouettes	Molson Stadium	L 45 – 19	20,202	4–6
12	September 12	Blue Bombers	Rogers Centre	L 39 – 9	28,453	4–7
13	September 20	@ Stampeders	McMahon Stadium	L 34 – 4	33,135	4–8
14	September 27	Stampeders	Rogers Centre	L 44 – 16	28,672	4–9
15	October 3	Lions	Rogers Centre	L 24 – 20	28,273	4–10
16	October 10	@ Blue Bombers	Canad Inns Stadium	L 25 – 16	27,268	4–11
17	October 18	Alouettes	Rogers Centre	L 43 – 34	30,262	4–12
18	October 25	@ Lions	BC Place Stadium	L 55 – 32	35,994	4–13
19	October 30	Roughriders	Rogers Centre	L 45 – 38	28,654	4–14
