Number	Name	Titles	Date	Opponent	Result	Defenses
1	Oscar De La Hoya	WBO Super featherweight (130)	1994-03-05	Jimmy Bredahl	TKO 10/12	1
1	Oscar De La Hoya	WBO Lightweight (135)	1995-02-18	John-John Molina	UD 12/12	6
1	Oscar De La Hoya	WBC Super lightweight (140)	1996-06-07	Julio César Chávez	TKO 4/12	1
1	Oscar De La Hoya	Lineal Super lightweight (140)	1996-06-07	Julio César Chávez	TKO 4/12	1
1	Oscar De La Hoya	WBC Welterweight (147)	1997-04-12	Pernell Whitaker	UD 12/12	7
1	Oscar De La Hoya	Lineal Welterweight (147)	1997-04-12	Pernell Whitaker	UD 12/12	7
1	Oscar De La Hoya	WBC Super welterweight (154)	2001-06-23	Javier Castillejo	UD 12/12	1
1	Oscar De La Hoya	The Ring Junior middleweight (154)	2002-09-14	Fernando Vargas	TKO 11/12	1
1	Oscar De La Hoya	WBO Middleweight (160)	2004-06-05	Felix Sturm	UD 12/12	0
2	Manny Pacquiao	WBC Flyweight (112)	1998-12-04	Chatchai Sasakul	KO 8/12	1
2	Manny Pacquiao	Lineal Flyweight (112)	1998-12-04	Chatchai Sasakul	KO 8/12	1
2	Manny Pacquiao	IBF Super bantamweight (122)	2001-06-23	Lehlohonolo Ledwaba	TKO 6/12	4
2	Manny Pacquiao	The Ring Featherweight (126)	2003-11-15	Marco Antonio Barrera	TKO 11/12	2
2	Manny Pacquiao	WBC Super featherweight (130)	2008-03-15	Juan Manuel Márquez	SD 12/12	0
2	Manny Pacquiao	The Ring Junior lightweight (130)	2008-03-15	Juan Manuel Márquez	SD 12/12	0
2	Manny Pacquiao	WBC Lightweight (135)	2008-06-28	David Díaz	TKO 9/12	0
2	Manny Pacquiao	The Ring Junior welterweight (140)	2009-05-02	Ricky Hatton	KO 2/12	0
