Week	Date	Opponent	Location	Final Score	Attendance	Record
1	August 10	Alouettes	Exhibition Stadium	L 28–15	26391	0–1–0
2	August 18	@ Tiger-Cats	Civic Stadium	L 29–23	25316	0–2–0
3	August 23	@ Blue Bombers	Winnipeg Stadium	L 33–13	16700	0–3–0
4	September 1	@ Rough Riders	Landsdowne Park	L 26–8	15799	0–4–0
5	September 9	Lions	Exhibition Stadium	L 37–21	22254	0–5–0
6	September 16	Rough Riders	Exhibition Stadium	W 16–10	24721	1–5–0
7	September 24	Eskimos	Exhibition Stadium	L 31–22	24117	1–6–0
8	September 29	@ Roughriders	Taylor Field	L 21–17	11758	1–7–0
8	October 1	@ Stampeders	McMahon Stadium	W 38–23	16000	2–7–0
9	October 6	Tiger-Cats	Exhibition Stadium	W 10–9	25174	3–7–0
10	October 14	Alouettes	Exhibition Stadium	L 50–21	29521	3–8–0
11	October 21	@ Tiger-Cats	Civic Stadium	L 27–24	24591	3–9–0
12	October 28	Rough Riders	Exhibition Stadium	W 23–22	20862	4–9–0
