Auckland	Canterbury	Central Districts	Otago	Wellington
286 B. Sutcliffe & D.D. Taylor v (C) 1948/49	306 L.A. Duff & J.D. Lawrence v (A) 1893/94	428 P.J. Ingram & J.M. How, v (W) 2009/10	373 B. Sutcliffe & L. Watt v (A) 1950/51	333 B.A Edgar & A.H. Jones v (A) 1988/89
241 T.J. Franklin & J.J. Crowe v (W) 1988/89	243 M.H.W. Papps & J.G. Myburgh v (CD) 2007/08	317 R.T Hart & P.S. Briasco v (C) 1983/84	254 K.J. Burns & K.R. Rutherford v (W) 1987/88	287 M.D. Bell & J.D. Wells v (A) 1997/98
445 P.E. Whitelaw & W.N. Carson v (O) 1936/37	394* P.G. Kennedy & R.T. Latham v (ND) 1990/91	264 P.J.Ingram & M.S. Sinclair v (ND) 2008/09	306 S.B. Haig v N.T. Broom (CD) 2009/10	346 G.P. Burnett v R.A. Verry (ND) 1991/92
280 J.J. Crowe & D.N. Patel v (ND) 1991/92	278 M.L. Page & A.W. Roberts v (W) 1931/32	276* M.D. Crowe & P.S. Briasco v (C) 1986/87	235 K.J. Burns & R.N. Hoskin v (ND) 1987/88	310 J.D. Ryder & N.R. Parlane v (CD) 2004/05
347* M.J. Horne & A.C. Barnes v (ND) 2003/04	290 G.R. Stead & C.Z. Harris v (CD) 1996/97	301 J.I Englefield & R.L. Taylor v (W) 2004/05	266 B. Sutcliffe & W.S. Haig v (A) 1952/53	341 G.R. Larsen & E.B. McSweeney (CD) 1987/88
377 C. Munro & Craig Cachopa, v (W)2012/13	379* S.L. Stewart & C.F.K. van Wyk v (CD) 2009/10	235 M.S. Sinclair & B.B.J. Griggs v (W) 2008/09	165 G.M. Turner & W.K Lees v (W) 1975/76	226 E.J. Gray & R.W. Ormiston v (CD) 1981/82
224 V.J. Scott & A.M. Matheson v (C) 1937/38	265 J.L. Powell & N. Dorreen v (O) 1929/30	219 B.W. Yuile & B.L. Hampton v (C) 1967/68	182 B. Sutcliffe & A.W. Gilbertson v (C) 1952/53	250 C.J. Nevin & M.D.J. Walker v (O) 2003/04
189 W.N. Carson & A.M. Matheson v (W) 1938/39	220 P.J. Wiseman & B.C. Hiini v (ND) 2005/06	173 I.D.S. Smith & G.K. Robertson v(ND) 192/83	165* J.N. Crawford & A.G. Eckhold v (W) 1914/15	180 R.G. Twose & M.C. Goodson v (O) 1994/95
151 R.A. Young & G.J. Morgan v (ND) 2007/08	182* L.K. Germon & R.M. Ford v (W) 1989/90	239 H.B. Cave & I.B. Leggat v (O) 1952/53	208 W.C. McSkimming & B.E. Scott v (A) 2004/05	225 L.J. Woodcock & M.J. Tugaga v (CD) 2009/10
119 W.N. Carson & J. Cowie v (W) 1937/38	160 L.K. Germon & W.A. Wisneski v (ND) 1997/98	133 G.A Bartlett & I.A. Colquuhoun v (A) 1959/60	184 R.C. Blunt & W. Hawksworth v (C) 1931/32	138 K.C. James & A.W.S. Brice v (W) 1926/27
