Name	Species Authority	Order	Family	Red List
Red Deer	Cervus elaphus Linnaeus, 1758	Artiodactyla	Cervidae	7
Sambar deer	Cervus unicolor Kerr, 1792	Artiodactyla	Cervidae	7
White-tailed deer	Odocoileus virginianus Zimmermann, 1780	Artiodactyla	Cervidae	7
Feral Pig	Sus scrofa Linnaeus, 1758	Artiodactyla	Suidae	7
Nine-banded Armadillo	Dasypus novemcinctus Linnaeus, 1758	Cingulata	Dasypodidae	7
Virginia Opossum	Didelphis virginiana Kerr, 1792	Didelphimorphia	Didelphidae	7
Black-tailed Jackrabbit	Lepus californicus Gray, 1837	Lagomorpha	Leporidae	7
Eastern Cottontail	Sylvilagus floridanus (J.A. Allen, 1890)	Lagomorpha	Leporidae	7
Marsh Rabbit	Sylvilagus palustris (Bachman, 1837)	Lagomorpha	Leporidae	7
Swamp Rabbit	Sylvilagus aquaticus (Bachman, 1837)	Lagomorpha	Leporidae	7
Rhesus Macaque	Macaca mulatta (Zimmermann, 1780)	Primates	Cercopithecidae	6
North American Least Shrew	Cryptotis parva (Say, 1823)	Soricomorpha	Soricidae	7
Southeastern Shrew	Sorex longirostris Bachman, 1837	Soricomorpha	Soricidae	7
Southern Short-tailed Shrew	Blarina carolinensis (Bachman, 1837)	Soricomorpha	Soricidae	7
Eastern Mole	Scalopus aquaticus (Linnaeus, 1758)	Soricomorpha	Talpidae	7
Star-nosed Mole	Condylura cristata (Linnaeus, 1758)	Soricomorpha	Talpidae	7
