Date	Venue	Score	Result	Competition
28 April 2004	Skopje City Stadium , Skopje , Macedonia	0 – 1	0–1	Friendly
4 September 2004	Maksimir Stadium , Zagreb , Croatia	2 – 0	3–0	2006 FIFA World Cup Qual.
9 February 2005	Teddy Stadium , Jerusalem , Israel	0 – 1	3–3	Friendly
9 February 2005	Teddy Stadium , Jerusalem , Israel	2 – 3	3–3	Friendly
1 March 2006	St. Jakob-Park , Basel , Switzerland	1 – 0	3–2	Friendly
23 May 2006	Ernst Happel Stadion , Vienna, Austria	0 – 1	1–4	Friendly
23 May 2006	Ernst Happel Stadion , Vienna, Austria	1 – 2	1–4	Friendly
7 October 2006	Maksimir Stadium , Zagreb , Croatia	5 – 0	7–0	UEFA Euro 2008 Qual.
16 June 2008	Hypo-Arena , Klagenfurt , Austria	1 – 0	1–0	UEFA Euro 2008
20 June 2008	Ernst Happel Stadion , Wien , Austria	1 – 0	1–1 (1–3 pen)	UEFA Euro 2008
1 April 2009	Estadi Comunal d'Andorra la Vella , Andorra	0 – 1	0–2	2010 FIFA World Cup Qual.
8 October 2009	Kantrida Stadium , Rijeka	2 – 0	3–2	Friendly
