Date	Venue	Opponents	Score	Competition	Match Report
22 July 2008	Falkirk Stadium	Ross County	2–2	F	Falkirk Official Site [ dead link ]
23 July 2008	Shielfield Park	Berwick Rangers	1–2	F	Falkirk Official Site [ dead link ]
26 July 2008	Falkirk Stadium	QPR	2–0	F	Falkirk Official Site [ dead link ]
28 July 2008	Falkirk Stadium	Alloa Athletic	0–0	F	Falkirk Official Site [ dead link ]
30 July 2008	Cambuur Stadion	SC Cambuur	0–1	F	Falkirk Official Site [ dead link ]
1 August 2008	De Langeleegte	BV Veendam	2–0	F	Falkirk Official Site [ dead link ]
2 August 2008	Abe Lenstra Stadion	SC Heerenveen	0–4	F	Falkirk Official Site [ dead link ]
9 August 2008	Falkirk Stadium	Rangers	0–1	SPL	Falkirk Official Site [ dead link ]
16 August 2008	Easter Road	Hibs	2–3	SPL	Falkirk Official Site [ dead link ]
23 August 2008	Celtic Park	Celtic	0–3	SPL	Falkirk Official Site [ dead link ]
26 August 2008	Stark's Park	Raith Rovers	3–1	SLC	Falkirk Official Site [ dead link ]
30 August 2008	Falkirk Stadium	Inverness CT	1–2	SPL	Falkirk Official Site [ dead link ]
13 September 2008	Falkirk Stadium	Heart of Midlothian	2–1	SPL	Falkirk Official Site [ dead link ]
20 September 2008	Love Street	St. Mirren	1–1	SPL	Falkirk Official Site [ dead link ]
23 September 2008	Falkirk Stadium	Queen of the South	2–1	SLC	Falkirk Official Site [ dead link ]
27 September 2008	Falkirk Stadium	Hamilton	4–1	SPL	Falkirk Official Site [ dead link ]
5 October 2008	Fir Park	Motherwell	2–3	SPL	Falkirk Official Site [ dead link ]
18 October 2008	Falkirk Stadium	Aberdeen	0–1	SPL	Falkirk Official Site [ dead link ]
25 October 2008	Rugby Park	Kilmarnock	2–1	SPL	Falkirk Official Site [ dead link ]
28 October 2008	Falkirk Stadium	Inverness CT	1–0	SLC	Falkirk Official Site [ dead link ]
1 November 2008	Falkirk Stadium	Dundee United	0–0	SPL	Falkirk Official Site [ dead link ]
8 November 2008	New Douglas Park	Hamilton	1–1	SPL	Falkirk Official Site [ dead link ]
12 November 2008	Caledonian Stadium	Inverness CT	1–1	SPL	Falkirk Official Site [ dead link ]
15 November 2008	Falkirk Stadium	Motherwell	1–0	SPL	Falkirk Official Site [ dead link ]
22 November 2008	Tynecastle Stadium	Heart of Midlothian	1–2	SPL	Falkirk Official Site [ dead link ]
29 November 2008	Falkirk Stadium	Hibs	1–1	SPL	Falkirk Official Site [ dead link ]
6 December 2008	Falkirk Stadium	St. Mirren	1–2	SPL	Falkirk Official Site [ dead link ]
13 December 2008	Pittodrie Stadium	Aberdeen	1–2	SPL	Falkirk Official Site [ dead link ]
21 December 2008	Falkirk Stadium	Celtic	0–3	SPL	Falkirk Official Site [ dead link ]
27 December 2008	Tannadice Park	Dundee United	0–1	SPL	Falkirk Official Site [ dead link ]
3 January 2009	Falkirk Stadium	Kilmarnock	1–1	SPL	Falkirk Official Site [ dead link ]
10 January 2009	Falkirk Stadium	Queen of the South	4–2	SC	Falkirk Official Site
17 January 2009	Ibrox Stadium	Rangers	1–3	SPL	Falkirk Official Site
24 January 2009	Fir Park	Motherwell	1–1	SPL	Falkirk Official Site
27 January 2009	Hampden Park	Rangers	0–3	SLC	Falkirk Official Site
31 January 2009	Falkirk Stadium	Aberdeen	1–0	SPL	Falkirk Official Site
7 February 2009	Tynecastle Stadium	Heart of Midlothian	1–0	SC	Falkirk Official Site
14 February 2009	New St. Mirren Park	St. Mirren	2–2	SPL	Falkirk Official Site
21 February 2009	Falkirk Stadium	Hamilton	1–2	SPL	Falkirk Official Site
28 February 2009	Easter Road	Hibs	0–0	SPL	Falkirk Official Site
3 March 2009	Falkirk Stadium	Dundee United	0–1	SPL	Falkirk Official Site
7 March 2009	Caledonian Stadium	Inverness CT	1–0	SC	Falkirk Official Site
21 March 2009	Falkirk Stadium	Inverness CT	4–0	SPL	Falkirk Official Site
5 April 2009	Falkirk Stadium	Rangers	0–1	SPL	Falkirk Official Site
8 April 2009	Celtic Park	Celtic	0–4	SPL	Falkirk Official Site
11 April 2009	Rugby Park	Kilmarnock	0–3	SPL	Falkirk Official Site
18 April 2009	Falkirk Stadium	Heart of Midlothian	0–0	SPL	Falkirk Official Site
26 April 2009	Hampden Park	Dunfermline Athletic	2–0	SC	Falkirk Official Site
2 May 2009	Falkirk Stadium	Motherwell	2–1	SPL	Falkirk Official Site
9 May 2009	Rugby Park	Kilmarnock	1–1	SPL	Falkirk Official Site
13 May 2009	New Douglas Park	Hamilton Academical	1–0	SPL	Falkirk Official Site
16 May 2009	Falkirk Stadium	St. Mirren	0–2	SPL	Falkirk Official Site
23 May 2009	Caledonian Stadium	Inverness CT	1–0	SPL	Falkirk Official Site
30 May 2009	Hampden Park	Rangers	0–1	SC	Falkirk Official Site
