District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) Unopposed
Texas 2	Jesse M. Combs	Democratic	1944	Retired Democratic hold	Jack Brooks (D) 79.0% Randolph C. Reed (R) 21.0%
Texas 3	Lindley Beckworth	Democratic	1938	Retired to run for U.S. Senate Democratic hold	Brady P. Gentry (D) Unopposed
Texas 4	Sam Rayburn	Democratic	1912	Re-elected	Sam Rayburn (D) Unopposed
Texas 5	Joseph Franklin Wilson	Democratic	1946	Re-elected	Joseph Franklin Wilson (D) Unopposed
Texas 6	Olin E. Teague	Democratic	1946	Re-elected	Olin E. Teague (D) Unopposed
Texas 7	John Dowdy	Democratic	September 23, 1952 (Special)	Re-elected	John Dowdy (D) Unopposed
Texas 8	Albert Richard Thomas	Democratic	1936	Re-elected	Albert Richard Thomas (D) Unopposed
Texas 9	Clark W. Thompson	Democratic	1947	Re-elected	Clark W. Thompson (D) Unopposed
Texas 10	Homer Thornberry	Democratic	1948	Re-elected	Homer Thornberry (D) Unopposed
Texas 11	William R. Poage	Democratic	1936	Re-elected	William R. Poage (D) Unopposed
Texas 12	Wingate H. Lucas	Democratic	1946	Re-elected	Wingate H. Lucas (D) Unopposed
Texas 13	Frank N. Ikard	Democratic	1951	Re-elected	Frank N. Ikard (D) Unopposed
Texas 14	John E. Lyle, Jr.	Democratic	1944	Re-elected	John E. Lyle, Jr. (D) Unopposed
Texas 15	Lloyd Bentsen	Democratic	1948	Re-elected	Lloyd Bentsen (D) Unopposed
Texas 16	Kenneth M. Regan	Democratic	1947	Re-elected	Kenneth M. Regan (D) Unopposed
Texas 17	Omar Burleson	Democratic	1946	Re-elected	Omar Burleson (D) Unopposed
Texas 18	Walter E. Rogers	Democratic	1950	Re-elected	Walter E. Rogers (D) Unopposed
Texas 19	George H. Mahon	Democratic	1934	Re-elected	George H. Mahon (D) Unopposed
Texas 20	Paul J. Kilday	Democratic	1938	Re-elected	Paul J. Kilday (D) Unopposed
Texas 21	O. C. Fisher	Democratic	1942	Re-elected	O. C. Fisher (D) Unopposed
