Club	Position in 2012–13	First season in top division	Number of seasons in Ligue 1	First season of current spell in top division	Ligue 1 titles	Last Ligue 1 title
Ajaccio	004 17th	2011-12	2	2011–12	0	—
Bastia	004 13th	1968–69	30	2012–13	0	—
Bordeaux	004 7th	1945–46	60	1992–93	6	2008–09
Evian b	YYY 16th	2011–12	3	2011–12	0	–
Guingamp	004 Ligue 2 : 2nd	1945–46	7	2013–14	0	–
Lille	004 6th	1945–46	53	2000–01	3	2010–11
Lorient	004 8th	1998–99	9	2006–07	0	—
Lyon	004 3rd	1951–52	54	1989–90	7	2007–08
Marseille a	004 2nd	1932–33	63	1995–96	9	2009–10
AS Monaco	004 Ligue 2: 1st	1953–54	54	2013–14	7	1999–2000
Montpellier a	010 9th	1932–33	30	2009–10	1	2011–12
Nantes	010 Ligue 2: 3rd	1932–33	45	2013–14	8	2000–01
Nice a	010 4th	1932–33	54	2002–03	4	1958–59
Paris Saint-Germain b	010 1st	1974–75	40	1974–75	3	2012–13
Rennes a	010 12th	1932–33	56	1994–95	0	—
Reims	010 14th	1945–46	30	2012–13	6	1961–62
Saint-Étienne	010 5th	1938–39	60	2004–05	10	1980–81
Sochaux a	010 15th	1932–33	65	2001–02	2	1937–38
Toulouse	010 10th	1982–83	25	2003–04	0	—
Valenciennes	010 11th	1960–61	32	2006–07	0	—
