Episode Number	Title	Podcast Date	Run time	Historical References
101	"Where It All Begins...Again!"	November 7, 2004	3:56	None. Series Premiere
102	"Steve Defeats Floyd!"	November 14, 2004	4:16	" Dewey Defeats Truman " newspapers
103	"Stop The Presses...And Dr. Steve!"	November 21, 2004	4:16	" Dewey Defeats Truman " newspapers
104	"Sweet Home Chicago!"	November 28, 2004	3:12	None
105	"Wiseguys!"	December 5, 2004	4:30	Al Capone
106	"The Sitdown!"	December 12, 2004	3:41	Al Capone
107	"Face Off!"	December 19, 2004	4:22	Al Capone
108	"Obligatory Flashback Episode!"	December 26, 2004	6:21	None
108.5	"Screaming Through Time And Space!"	January 2, 2005	0:29	None
109	"Wind Beneath My Wings!"	January 9, 2005	4:36	The Wright Brothers
110	"The Flying Nuts!"	January 16, 2005	4:19	The Wright Brothers
111	"Goodnight Dr. Floyd!"	January 23, 2005	4:20	None
112	"Kiss My Grits!"	January 30, 2005	4:50	None
113	"Very Soon, One Will..."	February 6, 2005	6:10	None
