Team #1	Agg. score	Team #2	1st leg	2nd leg
Kallithea	2-3	Levadiakos	1-1	1-2
Leonidio	0-5	Chalkidon Near East	0-4	0-1
Pontiakos Nea Santa	0-9	Iraklis	0-4	0-5
Poseidon Neoi Porroi	1-4	Panionios	0-1	1-3
Panachaiki	1-3	Acharnaikos	1-0	0-3 ( a.e.t. )
Paniliakos	5-6	Ergotelis	3-3	2-3
Panathinaikos	3-1	Niki Volos	2-0	1-1
Veria	1-6	Kerkyra	1-1	0-5
Thyella Patras	4-3	PAS Giannina	0-2	4-1
Thrasyvoulos	0-3	Skoda Xanthi	0-2	0-1
PAOK	4-1	Larissa	1-1	3-0
Agrotikos Asteras	6-2	Ionikos	3-1	3-1
Olympiacos	6-1	Vyzas	2-0	4-1
Panserraikos	2-2	Kastoria ( a.g. )	1-2	1-0
Kalamata	3-1	Chalkida	2-1	1-0
Doxa Drama	0-7	AEK Athens	0-4	0-3
Egaleo	4-2	Ilisiakos	4-0	0-2
Apollon Athens	6-0	Kavala	3-0	3-0
Patraikos	4-3	Apollon Kalamaria	1-1	3-2 ( a.e.t. )
ILTEX Lykoi	4-1	Fostiras	2-1	2-0
Ethnikos Asteras	1-0	Agios Dimitrios	1-0	0-0
Marko	2-3	Aris	2-2	0-1
Atsalenios	1-8	Akratitos	1-1	0-7
Proodeftiki	7-3	Kassandra	6-1	1-2
OFI	2-0	Rodos	1-0	1-0
