Year	Competition	Date	Location	Score	Result
2000	Euro/Africa Zone Group IV , Round Robin	19 Jan	Kampala (UGA)	3–0	Win
2000	Euro/Africa Zone Group IV , Round Robin	20 Jan	Kampala (UGA)	1–2	Loss
2000	Euro/Africa Zone Group IV , Round Robin	22 Jan	Kampala (UGA)	3–0	Win
2000	Euro/Africa Zone Group IV , Round Robin	23 Jan	Kampala (UGA)	2–1	Win
2001	Euro/Africa Zone Group IV , Round Robin	16 May	Nicosia (CYP)	3–0	Win
2001	Euro/Africa Zone Group IV , Round Robin	17 May	Nicosia (CYP)	2–1	Win
2001	Euro/Africa Zone Group IV , Round Robin	18 May	Nicosia (CYP)	3–0	Win
2001	Euro/Africa Zone Group IV , Round Robin	19 May	Nicosia (CYP)	3–0	Win
2001	Euro/Africa Zone Group IV , Round Robin	20 May	Nicosia (CYP)	3–0	Win
2002	Euro/Africa Zone Group III , Round Robin	8 May	Gdynia (POL)	0–3	Loss
2002	Euro/Africa Zone Group III , Round Robin	9 May	Gdynia (POL)	1–2	Loss
2002	Euro/Africa Zone Group III , Round Robin	10 May	Gdynia (POL)	2–1	Win
2002	Euro/Africa Zone Group III , Relegation Playoff	12 May	Gdynia (POL)	3–0	Win
2003	Euro/Africa Zone Group III , Round Robin	11 Jun	Jūrmala (LAT)	3–0	Win
2003	Euro/Africa Zone Group III , Round Robin	12 Jun	Jūrmala (LAT)	3–0	Win
2003	Euro/Africa Zone Group III , Round Robin	13 Jun	Jūrmala (LAT)	1–2	Loss
2003	Euro/Africa Zone Group III , Promotion Playoff	14 Jun	Jūrmala (LAT)	1–2	Loss
2003	Euro/Africa Zone Group III , 3rd to 4th Playoff	15 Jun	Jūrmala (LAT)	3–0	Win
2004	Euro/Africa Zone Group III , Round Robin	4 Feb	Kaunas (LTU)	1–2	Loss
2004	Euro/Africa Zone Group III , Round Robin	5 Feb	Kaunas (LTU)	2–1	Win
2004	Euro/Africa Zone Group III , 5th to 7th Playoff	7 Feb	Kaunas (LTU)	2–1	Win
2004	Euro/Africa Zone Group III , 5th to 6th Playoff	8 Feb	Kaunas (LTU)	1–2	Loss
2005	Euro/Africa Zone Group III , Round Robin	13 Jul	Dublin (IRL)	2–1	Win
2005	Euro/Africa Zone Group III , Round Robin	14 Jul	Dublin (IRL)	3–0	Win
2005	Euro/Africa Zone Group III , Round Robin	15 Jul	Dublin (IRL)	3–0	Win
2005	Euro/Africa Zone Group III , 1st to 4th Playoff	16 Jul	Dublin (IRL)	2–1	Win
2005	Euro/Africa Zone Group III , 1st to 2nd Playoff	17 Jul	Dublin (IRL)	2–1	Win
2006	Euro/Africa Zone Group II , 1st Round	7-9 Apr	Plovdiv (BUL)	2–3	Loss
2006	Euro/Africa Zone Group II , Relegation Playoff	21-23 Jul	Cairo (EGY)	3–2	Win
2007	Euro/Africa Zone Group II , 1st Round	6-8 Apr	Nicosia (CYP)	2–3	Loss
2007	Euro/Africa Zone Group II , Relegation Playoff	20-22 Jul	Nicosia (CYP)	4–1	Win
2008	Euro/Africa Zone Group II , 1st Round	11-13 Apr	Nicosia (CYP)	3–2	Win
2008	Euro/Africa Zone Group II , Quarterfinal	20-22 Jul	Porto (POR)	2–3	Loss
2009	Euro/Africa Zone Group II , 1st Round	6-8 Apr	Nicosia (CYP)	3–2	Win
2009	Euro/Africa Zone Group II , Quarterfinal	10-12 Jul	Nicosia (CYP)	3–2	Win
2009	Euro/Africa Zone Group II , Semifinal	18-20 Sep	Salo (FIN)	2–3	Loss
