Year	Winner	Jockey	Trainer	Owner	Distance	Time	Purse
2013	No Race	No Race	No Race	No Race	no race	0:00.00	no race
2012	No Race	No Race	No Race	No Race	no race	0:00.00	no race
2011	No Race	No Race	No Race	No Race	no race	0:00.00	no race
2010	No Race	No Race	No Race	No Race	no race	0:00.00	no race
2009	Our Edge	Alan Garcia	Nicholas P. Zito	Robert V. LaPenta	1-1/16	1:43.70	$100,000
2008	Roman Emperor	Jeremy Rose	Steve Klesaris	Puglisi Stables	1-1/16	1:45.60	$100,000
2007	Chelokee	Ramon Dominguez	Michael Matz	Centennial Farms	1-1/16	1:43.40	$100,000
2006	High Cotton	Garrett Gomez	Todd A. Pletcher	Peachtree Stable	1-1/16	1:42.80	$100,000
2005	Pinpoint	Rafael Bejarano	Nick Zito	Smoke & Mirrors Racing LLC	1-1/16	1:44.40	$100,000
2004	Royal Assault	Pat Day	Nick Zito	Tracy Farmer	1-1/16	1:45.60	$100,000
2003	Best Minister	Edgar Prado	Kenneth G. McPeek	Dinesh Maniar	1-1/16	1:43.80	$100,000
2002	Sarava	Edgar Prado	Kenneth G. McPeek	Gary Drake	1-1/16	1:44.00	$100,000
2001	Burning Roma	Rick Wilson	Anthony W. Dutrow	Harold L. Queen	1-1/16	1:44.00	$100,000
2000	Broken Vow	Shane Sellers	H. Graham Motion	Pin Oak Stud	1-1/16	1:43.20	$100,000
1999	Lead Em Home	Kent Desormeaux	Phil Marino	Sandi L. Kleeman	1-1/16	1:43.20	$100,000
1998	Thomas Jo	Steve Hamilton	James A. Jerkins	Earle I. Mack	1-1/16	1:43.00	$100,000
1997	Two Smart	Edgar Prado	H. Graham Motion	R. Larry Johnson	1-1/16	1:43.00	$83,000
1996	Saratoga Dandy	Gary Stevens	Nick Zito	Paraneck Stable	1-1/16	1:44.20	$56,275
1995 *	Star Trace	L. Reynolds	H. Graham Motion	R. Larry Johnson	1-1/16	1:42.60	$50,000
1995 *	Mighty Magee	Chris McCarron	Leon J. Blusiewicz	Waldorf Farm	1-1/16	1:42.60	$50,000
1994	Kayacan	Garrett Gomez	John B. Secor	Turkeli Farms	1-1/16	1:45.60	$55,575
1993	Raglan Road	Chris McCarron	Leon J. Blusiewicz	Haras Vista Hermosa	1-1/16	1:43.60	$56,000
