Year	Population (Region total)	Population (Mareeba)	Population (Atherton)	Population (Herberton)	Population (Eacham)
1933	19,386	8,248	3,962	2,852	4,324
1947	17,585	6,312	4,335	3,198	3,740
1954	20,917	7,595	5,401	4,150	3,771
1961	23,675	10,212	5,806	3,815	3,842
1966	23,332	10,789	5,311	3,634	3,598
1971	24,367	11,676	5,638	3,726	3,327
1976	25,488	12,136	6,240	3,679	3,433
1981	29,329	14,003	7,501	3,688	4,137
1986	33,426	15,563	8,518	4,210	5,135
1991	36,816	17,129	9,518	4,560	5,609
1996	39,350	18,044	10,119	5,113	6,074
2001	39,629	17,961	10,509	5,083	6,076
2006	40,906	18,212	10,912	5,423	6,359
