Heat	Lane	Name	Nationality	Time
5	5	Grant Hackett	Australia	14:38.92
3	5	Ryan Cochrane	Canada	14:40.84
3	4	Yuri Prilukov	Russia	14:41.13
5	6	Zhang Lin	China	14:45.84
3	3	David Davies	Great Britain	14:46.11
4	6	Oussama Mellouli	Tunisia	14:47.76
4	2	Sun Yang	China	14:48.39
5	3	Larsen Jensen	United States	14:49.53
4	4	Mateusz Sawrymowicz	Poland	14:50.30
4	5	Federico Colbertaldo	Italy	14:51.44
5	4	Peter Vanderkaay	United States	14:52.11
5	1	Spyridon Gianniotis	Greece	14:53.32
2	3	Nicolas Rostoucher	France	15:00.58
2	5	Mads Glæsner	Denmark	15:03.33
4	3	Craig Stevens	Australia	15:04.82
3	6	Park Tae-Hwan	South Korea	15:05.55
4	7	Samuel Pizzetti	Italy	15:07.02
3	7	Takeshi Matsuda	Japan	15:09.17
5	8	Gergő Kis	Hungary	15:09.67
2	2	Tom Vangeneugden	Belgium	15:11.04
1	5	Florian Janistyn	Austria	15:12.46
5	7	Troyden Prinsloo	South Africa	15:12.64
3	1	Sergey Fesenko	Ukraine	15:13.03
2	4	Maciej Hreniak	Poland	15:16.16
3	8	Richard Charlesworth	Great Britain	15:17.27
4	8	Marcos Rivera	Spain	15:18.98
3	2	Sébastien Rouault	France	15:21.14
2	1	Dragoș Coman	Romania	15:24.05
2	7	Fernando Costa	Portugal	15:26.21
1	3	Petar Stoychev	Bulgaria	15:28.84
5	2	Nikita Lobintsev	Russia	15:35.47
1	6	Ryan Arabejo	Philippines	15:42.77
2	8	Ricardo Monasterio	Venezuela	15:45.98
1	4	Juan Martín Pereyra	Argentina	15:49.57
1	2	Ediz Yildirimer	Turkey	16:28.79
2	6	Christian Kubusch	Germany	DNS
4	1	Luka Turk	Slovenia	DNS
