Game	Date	Opponent	Score	Location	Record
3	Fri. Nov. 2	Detroit Pistons	127-116	Boston Garden	3-0
4	Wed. Nov. 7	Los Angeles Clippers	135-108	Boston Garden	4-0
5	Fri. Nov. 9	Philadelphia 76ers	130-119	Boston Garden	5-0
6	Sat. Nov. 10	@ Washington Bullets	95-112	Capital Centre	5-1
7	Mon. Nov. 12	@ Indiana Pacers	132-115	Market Square Arena	6-1
8	Wed. Nov. 14	New York Knicks	115-99	Boston Garden	7-1
9	Thu. Nov. 15	@ Chicago Bulls	125-105	Chicago Stadium	8-1
10	Wed. Nov. 21	Golden State Warriors	135-91	Boston Garden	9-1
11	Fri. Nov. 23	Washington Bullets	118-110	Boston Garden	10-1
12	Sat. Nov. 24	@ Kansas City Kings	135-124	Kemper Arena	11-1
13	Tue. Nov. 27	@ Dallas Mavericks	114-99	Reunion Arena	12-1
14	Wed. Nov. 28	@ Houston Rockets	110-100	The Summit	13-1
