Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1965	Otto Hecker	Peggy Brixhe	Fernando Pinto Vitor P. Alves	Isabel Salema Peggy Brixhe	Fernando Pinto Peggy Brixhe
1966	Anton Sauter	Isabel Rocha	Fernando Pinto Vitor P. Alves	Conceição Felizardo Isabel Rocha	José Bento Isabel Rocha
1967	José Bento	Isabel Rocha	Fernando Pinto Francisco Lomos	Conceição Felizardo Isabel Rocha	José Azevedo Isabel Rocha
1968	Oscar Lujan	no competition	Oscar Lujan Monge Dias	no competition	Jan Holtnaes Cecilia Geirithas
1969	Jan Holtnaes	Isabel Rocha	Jan Holtnaes Anton Sauter	no competition	Jan Holtnaes Susan Bennett
1970	Erich Linnemann	Peggy Brixhe	Anton Sauter Erich Linnemann	Helena Dias Isabel Rocha	José Bento Isabel Rocha
1971	Anton Sauter	Fina Salazar	Anton Sauter Erich Linnemann	no competition	Alfredo Salazar Fina Salazar
1972	Philip Smith	Nora Gardner	Eddy Sutton Bill Kidd	Nora Gardner Barbara Giles	Bill Kidd Barbara Giles
1973	Ray Stevens	Margaret Beck	Ray Stevens Elliot Stuart	Nora Gardner Barbara Giles	Ray Stevens Barbara Giles
1974	Elo Hansen	Barbara Giles	David Hunt Bill Kidd	Margo Winter Barbara Giles	David Hunt Margo Winter
1975	no competition	no competition	no competition	no competition	no competition
1976	Michael Wilks	Jane Webster	Michael Wilks Peter Bullivant	Jane Webster Kathleen Redhead	Peter Bullivant Kathleen Redhead
1977	Tariq Farooq	Karen Bridge	Ola Eriksson Christian Lundberg	Karen Bridge Anne Statt	Tim Stokes Karen Bridge
1978	Thomas Kihlström	Marjan Ridder	Thomas Kihlström Bengt Fröman	Barbara Sutton Paula Kilvington	Eddy Sutton Barbara Sutton
1979	Ray Stevens	Nora Perry	Ray Stevens Elliot Stuart	Nora Perry Eva Stuart	Ray Stevens Nora Perry
1980	David Eddy	Eva Stuart	David Eddy Elliot Stuart	Gillian Clark Kathleen Redhead	Ray Roge Kathleen Redhead
1981	Kevin Jolly	Catharine Troke	Ray Stevens Derek Talbot	Marjan Ridder Else Thoresen	Billy Gilliland Eva Stuart
1982	Ray Stevens	Catharine Troke	Ray Stevens Darren Hall	Nora Perry Catharine Troke	Ray Stevens Nora Perry
1983	Kevin Jolly	Alison Fisher	Billy Gilliland Alex White	Alison Fisher Jane Shipman	Billy Gilliland Jane Shipman
1984	Thomas Angarth	Fiona Elliott	Gerry Asquith Elliot Stuart	Fiona Elliott Eva Stuart	Gerry Asquith Fiona Elliott
1985	Niels Skeby	Fiona Elliott	Niels Skeby Poul Erik Hoyer Larsen	Fiona Elliot J. Elliot	Mark Elliott Fiona Elliott
1986	Ken Middlemiss	Eva Stuart	David Eddy Elliot Stuart	Margarida Cruz Paula Sousa	Ken Middlemiss Margarida Cruz
1987	P. Patel	Pernille Dupont	David Eddy Elliot Stuart	Pernille Dupont Lotte Olsen	José Nascimento Lotte Olsen
1988	Stéphane Renault	Christelle Mol	Nick Pettman Jon Pulford	Cecilia Brun Christelle Mol	José Nascimento Christelle Mol
1989	Oystein Larsen	J. Gomes	Oystein Larsen Trond Waland	Maria Gomes Zamy Gomes	Flemming Glyager Gitte Hansen
1990	Peter Smith	Julia Mann	Peter Smith Nittin Panesar	Julia Mann Tania Growes	Nittin Panesar Tania Growes
1991	Anders Nielsen	Astrid van der Knaap	Andy Goode Glen Milton	Elena Denisova Marina Yakusheva	Chris Hunt Tracy Dineen
1992	Andrey Antropov	Elena Rybkina	Andy Goode Chris Hunt	Joanne Wright Joanne Davies	Andy Goode Joanne Wright
1993	Andrey Antropov	Marina Andrievskaia	Chan Kin Ngai Wong Wai Lap	Marina Andrievskaja Irina Yakusheva	Nikolaj Zuev Marina Yakusheva
1994	Martin Lundgaard Hansen	Irina Yakusheva	Thomas Damgaard Jan Jörgensen	Rikke Olsen Helene Kirkegaard	Martin Lundgaard Hansen Rikke Olsen
1995	Martin Lundgaard Hansen	Anne Sondergaard	Hendrik Sörensen Martin Lundgaard Hansen	Majken Vange Mette Hansen	Peder Nissen Mette Hansen
