Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 6, 1998	at Philadelphia Eagles	W 38-0	Veterans Stadium	1-0	66,418
2	September 13, 1998	Arizona Cardinals	W 33-14	Kingdome	2-0	57,678
3	September 20, 1998	Washington Redskins	W 24-14	Kingdome	3-0	63,336
4	September 27, 1998	at Pittsburgh Steelers	L 10-13	Three Rivers Stadium	3-1	58,413
5	October 4, 1998	at Kansas City Chiefs	L 6-17	Arrowhead Stadium	3-2	66,418
6	October 11, 1998	Denver Broncos	L 16-21	Kingdome	3-3	66,258
7	Bye	Bye	Bye	Bye	Bye	Bye
8	October 25, 1998	at San Diego Chargers	W 27-20	Qualcomm Stadium	4-3	58,512
9	November 1, 1998	Oakland Raiders	L 18-31	Kingdome	4-4	66,246
10	November 8, 1998	Kansas City Chiefs	W 24-12	Kingdome	5-4	66,251
11	November 15, 1998	at Oakland Raiders	L 17-20	Network Associates Coliseum	5-5	51,527
12	November 22, 1998	at Dallas Cowboys	L 22-30	Texas Stadium	5-6	64,142
13	November 29, 1998	Tennessee Oilers	W 20-18	Kingdome	6-6	59,048
14	December 6, 1998	at New York Jets	L 31-32	The Meadowlands	6-7	72,200
15	December 13, 1998	San Diego Chargers	W 38-17	Kingdome	7-7	62,690
16	December 20, 1998	Indianapolis Colts	W 27-23	Kingdome	8-7	58,703
17	December 27, 1998	at Denver Broncos	L 21-28	Mile High Stadium	8-8	74,057
