Date	Tournament	Surface	Partner	Opponents in the final	Score
20 March 2006	Australia F4	Clay	Robert Haybittel	Damian Patriarca Joseph Sirianni	6–7(4), 1–6
7 April 2008	Russia F1	Hard	Chris Eaton	Sergei Demekhine Konstantin Kravchuk	1–6, 2–6
30 October 2009	Cardiff, Great Britain F16	Hard	Tim Bradshaw	Barry King James McGee	4–6, 6–7(3)
4 December 2009	Santo Domingo, Dominican Republic F2	Hard	Amir Weintraub	Adam El Mihdawy Blake Strode	3–6, 6–2, [7–10]
26 December 2009	Sorocaba, Brazil F32	Clay	Guillermo Alcaide	Alexandre Bonatto Rodrigo-Antonio Grilli	2–6, 4–6
3 January 2010	São Paulo , Brazil F34	Hard	Guillermo Alcaide	Juan-Pablo Amado Rodrigo-Antonio Grilli	4–6, 5–7
19 March 2010	Astana , Kazakhstan F1	Hard	Alexander Peya	Evgeny Kirillov Alexander Kudryavtsev	3–6, 4–6
10 September 2010	Cumberland, London, Great Britain F13	Hard	Claudio Grassi	David Rice Sean Thornley	6–2, 3–6, [0–10]
29 January 2011	Kaarst, Germany F3	Carpet	Chris Eaton	Kevin Krawietz Marcel Zimmermann	3–6, 5–7
29 April 2011	Bournemouth, Great Britain F5	Clay	Carlos Poch-Gradin	David Rice Sean Thornley	3–6, 4–6
15 April 2012	Antalya, Turkey F14	Hard	Gero Kretschmer	Richard Becker Nikolaus Moser	4–6, 1–6
