Candidate	Background	Original Team	Hometown	Result
Sean Yazbeck	Recruitment Consultant	Synergy	London, United Kingdom	Hired by Trump (6-5-2006)
Lee Bienstock	Business Analyst	Gold Rush	Brooklyn, New York	Fired in the Season Finale (6-5-2006)
Allie Jablon	Medical Sales Manager	Synergy	Columbia, South Carolina	10 Fired in week 13 (5-22-2006)
Roxanne Wilson	Appellate Attorney	Synergy	Austin, Texas	10 Fired in week 13 (5-22-2006)
Tammy Trenta	Wealth Manager	Synergy	Edison, New Jersey	10 Fired in week 12 (5-15-2006)
Michael Laungani	Management Consultant	Synergy	Chicago, Illinois	10 Fired in week 11 (5-8-2006)
Tarek Saab	Hi-Tech Manager	Gold Rush	New Bedford, Massachusetts	10 Fired in week 10 (5-1-2006)
Charmaine Hunt	Real Estate Consultant	Gold Rush	Nashville, Tennessee	10 Fired in week 10 (5-1-2006)
Andrea Lake	Sticker Company Owner	Synergy	San Diego, California	10 Fired in week 9 (4-24-2006)
Leslie Bourgeois	Realtor	Gold Rush	Houma, Louisiana	10 Fired in week 8 (4-10-2006)
Lenny Veltman	Trading Company Owner	Gold Rush	Tashkent, Uzbekistan	10 Fired in week 7 (4-10-2006)
Bryce Gahagan	Home Builder	Gold Rush	Kansas City, Missouri	10 Fired in week 6 (4-3-2006)
Dan Brody	Clothing Company Owner	Gold Rush	Miami, Florida	10 Fired in week 5 (3-27-2006)
Brent Buckman	Attorney	Synergy	Fort Lauderdale, Florida	10 Fired in week 4 (3-20-2006)
Theresa Boutross	Psychotherapist	Gold Rush	Barrington, Illinois	10 Fired in week 3 (3-13-2006)
Jose "Pepi" Diaz	Attorney	Synergy	Miami, Florida	10 Fired in week 2 (3-6-2006)
Stacy Schneider	Criminal Defense Attorney	Synergy	New York, New York	10 Fired in week 2 (3-6-2006)
Summer Zervos	Restaurant Owner	Gold Rush	Huntington Beach, California	10 Fired in week 1 (2-27-2006)
