Event	Data	Athlete	Date	Place
5 km	19:29	Andi Drake	27 May 1990	Søfteland , Norway
5 miles	32:38+	Ian McCombie	23 March 1985	York , United Kingdom
10 km	40:17	Chris Maddocks	30 April 1989	Burrator , United Kingdom
15 km	1:01:11	Steve Barry	24 June 1984	Mézidon-Canon , France
10 miles	1:06:15+	Steve Barry	26 February 1983	Douglas , United Kingdom
20 km	1:22:03	Ian McCombie	23 September 1988	Seoul , South Korea
25 km	1:46:16+	Ian McCombie	27 April 1986	Edinburgh , United Kingdom
30 km	2:07:56	Ian McCombie	27 April 1986	Edinburgh , United Kingdom
20 miles	2:30:35	Paul Nihill	12 June 1971	Sheffield , United Kingdom
35 km	2:36:19	Chris Maddocks	29 June 1991	Örnsköldsvik , Sweden
40 km	3:02:55+	Chris Maddocks	28 October 1990	Burrator , United Kingdom
50 km	3:51:37	Chris Maddocks	28 October 1990	Burrator , United Kingdom
100 km	9:34:25	Tony Geal	2 June 1979	Grand-Quevilly , France
24 hours	219.570km	Derek Harrison	21 May 1978	Rouen , France
