No	Season	Start date (1st night)	End date (Last night)	Location	No of Proms
1	1895	Saturday 10 August	Saturday 5 October	Queen's Hall, London	49
2	1896	Saturday 29 August	Saturday 10 October	Queen's Hall, London	37
3	1897	Saturday 28 August	Saturday 9 October	Queen's Hall, London	43
4	1898	Saturday 27 August	Saturday 15 October	Queen's Hall, London	43
5	1899	Saturday 26 August	Saturday 21 October	Queen's Hall, London	49
6	1900	Saturday 25 August	Saturday 10 October	Queen's Hall, London	67
7	Summer 1901	Saturday 24 August	Saturday 9 October	Queen's Hall, London	67
7a	Winter 1901/02	Saturday 26 December	Saturday 1 February	Queen's Hall, London	33
8	1902	Saturday 23 August	Saturday 8 November	Queen's Hall, London	67
9	1903	Saturday 22 August	Friday 23 October	Queen's Hall, London	54
10	1904	Saturday 6 August	Friday 21 October	Queen's Hall, London	66
11	1905	Saturday 19 August	Friday 27 October	Queen's Hall, London	60
12	1906	Saturday 18 August	Friday 26 October	Queen's Hall, London	60
13	1907	Saturday 17 August	Saturday 26 October	Queen's Hall, London	61
14	1908	Saturday 15 August	Saturday 24 October	Queen's Hall, London	61
15	1909	Saturday 14 August	Saturday 23 October	Queen's Hall, London	61
16	1910	Saturday 13 August	Saturday 22 October	Queen's Hall, London	61
17	1911	Saturday 12 August	Saturday 21 October	Queen's Hall, London	61
18	1912	Saturday 17 August	Saturday 26 October	Queen's Hall, London	61
19	1913	Saturday 16 August	Saturday 25 October	Queen's Hall, London	61
20	1914	Saturday 15 August	Saturday 24 October	Queen's Hall, London	61
21	1915	Saturday 14 August	Saturday 23 October	Queen's Hall, London	61
22	1916	Saturday 26 August	Saturday 21 October	Queen's Hall, London	49
23	1917	Saturday 25 August	Saturday 20 October	Queen's Hall, London	49
24	1918	Saturday 11 August	Saturday 19 October	Queen's Hall, London	61
25	1919	Saturday 16 August	Saturday 25 October	Queen's Hall, London	61
26	1920	Saturday 14 August	Saturday 23 October	Queen's Hall, London	61
27	1921	Saturday 13 August	Saturday 22 October	Queen's Hall, London	61
28	1922	Saturday 12 August	Saturday 21 October	Queen's Hall, London	61
29	1923	Saturday 11 August	Saturday 20 October	Queen's Hall, London	61
30	1924	Saturday 9 August	Saturday 18 October	Queen's Hall, London	61
31	1925	Saturday 8 August	Saturday 17 October	Queen's Hall, London	61
32	1926	Saturday 14 August	Saturday 16 October	Queen's Hall, London	55
33	1927	Saturday 13 August	Saturday 24 October	Queen's Hall, London	37
34	1928	Saturday 11 August	Saturday 6 October	Queen's Hall, London	49
35	1929	Saturday 10 August	Saturday 5 October	Queen's Hall, London	49
36a	1930 (London)	Saturday 9 August	Saturday 4 October	Queen's Hall, London	49
37	1931	Saturday 8 August	Saturday 3 October	Queen's Hall, London	48
38	Summer 1932	Saturday 6 August	Saturday 1 October	Queen's Hall, London	49
38a	Winter 1932/33	Saturday 31 December	Saturday 14 February	Queen's Hall, London	13
39	1933	Saturday 12 August	Saturday 7 October	Queen's Hall, London	49
40	Summer 1934	Saturday 11 August	Saturday 6 October	Queen's Hall, London	49
40a	Winter 1934/35	Monday 31 December	Saturday 12 January	Queen's Hall, London	12
41	Summer 1935	Saturday 10 August	Saturday 5 October	Queen's Hall, London	49
41a	Winter 1935/36	Monday 30 December	Saturday 11 January	Queen's Hall, London	12
42	1936	Saturday 8 August	Saturday 3 October	Queen's Hall, London	49
43	1937	Saturday 7 August	Saturday 2 October	Queen's Hall, London	49
44	1938	Saturday 6 August	Saturday 1 October	Queen's Hall, London	49
45	1939	Saturday 12 August	Saturday 1 September [1]	Queen's Hall, London	17.5 [1]
46	1940	Saturday 10 August	Saturday 7 September [2]	Queen's Hall, London	25 [2]
47	1941	Saturday 12 July	Saturday 23 August	Royal Albert Hall, London	37
48	1942	Saturday 27 June	Saturday 22 August	Royal Albert Hall, London	49
49	1943	Saturday 19 June	Saturday 21 August	Royal Albert Hall, London	55
50	1944	Saturday 10 June	Thursday 29 June [3]	Royal Albert Hall, London	17 [3]
51	1945	Saturday 21 July	Saturday 15 September	Royal Albert Hall, London	49
52	1946	Saturday 27 July	Saturday 21 September	Royal Albert Hall, London	49
52a	Winter 1947	Monday 6 January	Saturday 18 January	Royal Albert Hall, London	12
53	Summer 1947	Saturday 19 July	Saturday 13 September	Royal Albert Hall, London	49
53a	Winter 1948	Monday 5 January	Saturday 17 January	Royal Albert Hall, London	12
54	Summer 1948	Saturday 24 July	Saturday 18 September	Royal Albert Hall, London	49
54a	Winter 1949	Monday 10 January	Saturday 22 January	Royal Albert Hall, London	12
55	Summer 1949	Saturday 23 July	Saturday September	Royal Albert Hall, London	49
55a	Winter 1950	Monday 9 January	Saturday 21 January	Royal Albert Hall, London	12
56	Summer 1950	Saturday 22 July	Saturday 16 September	Royal Albert Hall, London	49
56a	Winter 1951	Monday 8 January	Saturday 20 January	Royal Albert Hall, London	12
57	Summer 1951	Saturday 28 July	Saturday 22 September	Royal Albert Hall, London	49
58	Winter 1952	Monday 7 January	Saturday 19 January	Royal Albert Hall, London	12
58a	1952	Saturday 26 July	Saturday 20 September	Royal Albert Hall, London	49
59	1953	Saturday 25 July	Saturday 19 September	Royal Albert Hall, London	49
60	1954	Saturday 24 July	Saturday 18 September	Royal Albert Hall, London	49
61	1955	Saturday 23 July	Saturday 17 September	Royal Albert Hall, London	49
62	1956	Saturday 21 July	Saturday 15 September	Royal Albert Hall, London	49
63	1957	Saturday 20 July	Saturday 14 September	Royal Albert Hall, London	49
64	1958	Saturday 26 July	Saturday 20 September	Royal Albert Hall, London	49
65	1959	Saturday 25 July	Saturday 19 September	Royal Albert Hall, London	49
66	1960	Saturday 23 July	Saturday 17 September	Royal Albert Hall, London	49
67	1961	Saturday 22 July	Saturday 16 September	Royal Albert Hall, London	49
68	1962	Saturday 21 July	Saturday 15 September	Royal Albert Hall, London	49
69	1963	Saturday 20 July	Saturday 14 September	Royal Albert Hall, London	49
70	1964	Saturday 25 July	Saturday 19 September	Royal Albert Hall, London	49
71	1965	Saturday 17 July	Saturday 11 September	Royal Albert Hall, London	49
72	1966	Saturday 23 July	Saturday 17 September	Royal Albert Hall, London	50
73	1967	Saturday 22 July	Saturday 16 September	Royal Albert Hall, London	51
74	1968	Friday 19 July	Saturday 14 September	Royal Albert Hall, London	52
75	1969	Friday 18 July	Saturday 13 September	Royal Albert Hall, London	52
76	1970	Friday 17 July	Saturday 12 September	Royal Albert Hall, London	53
77	1971	Friday 23 July	Saturday 18 September	Royal Albert Hall, London	54
78	1972	Friday 21 July	Saturday 16 September	Royal Albert Hall, London	57
78a	Winter 1972/73	Friday 29 December	Friday 5 January	Royal Albert Hall, London	8
79	1973	Friday 20 July	Saturday 15 September	Royal Albert Hall, London	55
80	1974	Friday 19 July	Saturday 14 September	Royal Albert Hall, London	55
81	1975	Friday 25 July	Saturday 20 September	Royal Albert Hall, London	57
82	1976	Friday 16 July	Saturday 11 September	Royal Albert Hall, London	56
83	1977	Friday 22 July	Saturday 17 September	Royal Albert Hall, London	55
84	1978	Friday 21 July	Saturday 16 September	Royal Albert Hall, London	55
85	1979	Friday 20 July	Saturday 15 September	Royal Albert Hall, London	54
86	1980	Friday 18 July	Saturday 13 September	Royal Albert Hall, London	57
87	1981	Friday 17 July	Saturday 12 September	Royal Albert Hall, London	56
88	1982	Friday 16 July	Saturday 11 September	Royal Albert Hall, London	57
89	1983	Friday 22 July	Saturday 17 September	Royal Albert Hall, London	57
90	1984	Friday 20 July	Saturday 15 September	Royal Albert Hall, London	59
91	1985	Friday 19 July	Saturday 14 September	Royal Albert Hall, London	60
92	1986	Friday 18 July	Saturday 13 September	Royal Albert Hall, London	60
93	1987	Friday 17 July	Saturday 12 September	Royal Albert Hall, London	66
94	1988	Friday 22 July	Saturday 17 September	Royal Albert Hall, London	69
95	1989	Friday 21 July	Saturday 16 September	Royal Albert Hall, London	68
96	1990	Friday 20 July	Saturday 15 September	Royal Albert Hall, London	66
97	1991	Friday 19 July	Saturday 14 September	Royal Albert Hall, London	67
98	1992	Friday 17 July	Saturday 12 September	Royal Albert Hall, London	66
99	1993	Friday 16 July	Saturday 11 September	Royal Albert Hall, London	67
100	1994	Friday 15 July	Saturday 10 September	Royal Albert Hall, London	68
101	1995	Friday 21 July	Saturday 16 September	Royal Albert Hall, London	70
102	1996	Friday 19 July	Saturday 14 September	Royal Albert Hall, London	72
103	1997	Friday 18 July	Saturday 13 September	Royal Albert Hall, London	73
104	1998	Friday 17 July	Saturday 12 September	Royal Albert Hall, London	73
105	1999	Friday 16 July	Saturday 11 September	Royal Albert Hall, London	72
106	2000	Friday 14 July	Saturday 9 September	Royal Albert Hall, London	72
107	2001	Friday 20 July	Saturday 15 September	Royal Albert Hall, London	73
108	2002	Friday 19 July	Saturday 14 September	Royal Albert Hall, London	73
109	2003	Friday 18 July	Saturday 13 September	Royal Albert Hall, London	73
110	2004	Friday 16 July	Saturday 11 September	Royal Albert Hall, London	74
111	2005	Friday 15 July	Saturday 10 September	Royal Albert Hall, London	74
112	2006	Friday 14 July	Saturday 9 September	Royal Albert Hall, London	73
113	2007	Friday 13 July	Saturday 8 September	Royal Albert Hall, London	72
114	2008	Friday 18 July	Saturday 13 September	Royal Albert Hall, London	76
115	2009	Friday 17 July	Saturday 12 September	Royal Albert Hall, London	76
116	2010	Friday 16 July	Saturday 11 September	Royal Albert Hall, London	76
117	2011	Friday 15 July	Saturday 10 September	Royal Albert Hall, London	74
118	2012	Friday 13 July	Saturday 8 September	Royal Albert Hall, London	76
