Player	Ranking	Record	Hardcourt	Clay	Grass	Carpet
Caroline Wozniacki	1	2–2	0–1	2–1	0–0	0–0
/ Jelena Janković	1	1–2	1–1	0–1	0–0	0–0
Maria Sharapova	1	0–1	0–1	0–0	0–0	0–0
Serena Williams	1	0–2	0–2	0–0	0–0	0–0
Victoria Azarenka	1	0–1	0–0	0–0	0–1	0–0
Vera Zvonareva	2	0–2	0–2	0–0	0–0	0–0
Elena Dementieva	3	0–1	0–1	0–0	0–0	0–0
Nadia Petrova	3	0–1	0–1	0–0	0–0	0–0
Agnieszka Radwańska	3	0–1	0–0	0–1	0–0	0–0
Kimiko Date-Krumm	4	1–1	1–1	0–0	0–0	0–0
/ Jelena Dokić	4	1–1	1–1	0–0	0–0	0–0
Li Na	4	0–3	0–3	0–0	0–0	0–0
Francesca Schiavone	4	0–1	0–1	0–0	0–0	0–0
Anna Chakvetadze	5	1–0	0–0	1–0	0–0	0–0
Alicia Molik	8	1–0	1–0	0–0	0–0	0–0
Flavia Pennetta	10	1–0	1–0	0–0	0–0	0–0
Andrea Petkovic	10	1–2	1–0	0–2	0–0	0–0
Shahar Pe'er	11	0–2	0–1	0–1	0–0	0–0
Sabine Lisicki	12	0–1	0–0	0–0	0–1	0–0
Yanina Wickmayer	12	0–3	0–3	0–0	0–0	0–0
Anastasia Pavlyuchenkova	13	1–2	0–2	0–0	1–0	0–0
Aravane Rezaï	15	2–0	2–0	0–0	0–0	0–0
