Rank	Name	Years	Goals	Apps
1	Silvio Piola	1929–1954	274	537
2	Francesco Totti	1992–	230	543
3	Gunnar Nordahl	1948–1958	225	291
4	Giuseppe Meazza	1929–1947	216	367
4	José Altafini	1958–1976	216	459
6	Roberto Baggio	1985–2004	205	452
7	Kurt Hamrin	1956–1971	190	400
8	Giuseppe Signori	1991–2004	188	344
8	Alessandro Del Piero	1993–2012	188	478
10	Gabriel Batistuta	1991–2003	184	318
11	Antonio Di Natale	2002–	180	368
12	Giampiero Boniperti	1946–1961	178	443
13	Amedeo Amadei	1936–1956	174	423
14	Giuseppe Savoldi	1965–1982	168	405
15	Guglielmo Gabetto	1934–1949	167	322
16	Alberto Gilardino	1999–	164	425
17	Roberto Boninsegna	1965–1979	163	366
18	Luigi Riva	1964–1976	156	289
18	Filippo Inzaghi	1995–2012	156	370
18	Roberto Mancini	1981–2000	156	541
21	Luís Vinício	1955–1968	155	348
21	Carlo Reguzzoni	1929–1948	155	401
23	István Nyers	1948–1956	153	236
23	Hernán Crespo	1996–2012	153	340
25	Adriano Bassetto	1946–1958	149	329
26	Omar Sívori	1957–1969	147	278
27	Christian Vieri	1991–2009	142	264
27	Benito Lorenzi	1947–1959	142	330
27	Marco Di Vaio	1994–2012	142	342
27	Paolo Pulici	1967–1985	142	401
