Representative	Years	State	Party	Lifespan
John A. Quackenbush	1889–1893	New York	Republican	1828–1908
James Minor Quarles	1859–1861	Tennessee	Oppositionist	1823–1901
Julian M. Quarles	1899–1901	Virginia	Democratic	1848–1929
Tunstal Quarles	1817–1820	Kentucky	Democratic-Republican	1781–1856
Dan Quayle	1977–1981	Indiana	Republican	1947–
John Quayle	1923–1930	New York	Democratic	1868–1930
Al Quie	1958–1979	Minnesota	Republican	1923–
Lemuel E. Quigg	1894–1899	New York	Republican	1863–1919
James M. Quigley	1955–1957 1959–1961	Pennsylvania	Democratic	1918–
Jimmy Quillen	1963–1997	Tennessee	Republican	1916–2003
Percy Quin	1913–1932	Mississippi	Democratic	1872–1932
Josiah Quincy III	1805–1813	Massachusetts	Federalist	1772–1864
Jack Quinn	1993–2005	New York	Republican	1951–
James L. Quinn	1935–1939	Pennsylvania	Democratic	1875–1960
John Quinn	1889–1891	New York	Democratic	1839–1903
Peter A. Quinn	1945–1947	New York	Democratic	1904–1974
Terence J. Quinn	1877–1878	New York	Democratic	1836–1878
T. Vincent Quinn	1949–1951	New York	Democratic	1903–1982
John A. Quitman	1855–1858	Mississippi	Democratic	1798–1858
