Country	Preliminary	Interview	Swimsuit	Evening gown	Average
California	8.435	8.861	9.211	9.200	9.090
Texas	8.671	9.322	9.177	9.300	9.266
South Carolina	8.075	8.733	8.650	8.744	8.709
Louisiana	8.147	8.644	8.800	8.900	8.781
North Dakota	7.949	8.955	8.300	8.422	8.559
Oklahoma	7.844	8.688	8.266	8.566	8.506
Nevada	8.147	8.011	8.866	8.322	8.399
Washington	8.207	7.977	8.577	8.633	8.395
Michigan	7.864	8.525	8.366	8.272	8.387
Pennsylvania	8.035	8.166	8.555	8.377	8.366
Georgia	7.903	7.655	8.588	8.755	8.332
