Player	Club	League	Play-offs	FA Cup	FA Trophy	Total
Paul Barnes	Doncaster Rovers	25	1	2	0	28
Kirk Jackson	Yeovil Town	24	0	1	1	27
Gregg Blundell	Doncaster Rovers	20	0	0	2	22
Junior Agogo	Barnet	20	0	0	0	20
Wayne Curtis	Morecambe	18	0	0	0	18
Dino Maamria	Stevenage Borough	17	0	1	0	18
Daryl Clare	Chester City	17	0	0	0	17
Mark Stein	Dagenham & Redbridge	16	3	0	2	21
Christian Moore	Burton Albion	16	0	2	0	18
Steve West	Dagenham & Redbridge	16	0	0	1	17
David Brown	Telford United	16	0	0	1	17
Neil Grayson	Forest Green Rovers	15	0	0	5	20
Mark Quayle	Chester City	15	0	1	0	16
Warren Patmore	Woking	14	0	0	2	16
Paul Moore	Telford United	14	0	0	1	15
Kayode Odejayi	Forest Green Rovers	13	0	1	2	16
Lee Elam	Morecambe	13	0	1	1	15
Kevin Gall	Yeovil Town	13	0	0	1	14
Steve Guinan	Hereford United	13	0	0	0	13
