Hangul	Hanja	Revised	McCune-Reischauer	2000 n South Korea population *
김	金	Gim	Kim	9,925,949
이 (S) 리 (N)	李 , 伊, 異	I (S) Ri (N)	Yi (S) Ri (N)	6,796,227
박	朴	Bak	Pak	3,895,121
정	丁, 程, 鄭	Jeong	Chŏng	2,230,611
최	崔	Choe	Ch'oe	2,169,704
조	趙 , 曺	Jo	Cho	1,347,730
강	姜 , 剛, 康, 强, 彊	Gang	Kang	1,169,805
유 (S) 류 (N)	柳, 劉, 兪, 庾	Yu (S) Ryu (N)	Yu (S) Ryu (N)	1,040,984
윤	尹	Yun	Yun	948,600
장	莊, 章, 張, 蔣	Jang	Chang	943,257
신	申, 辛, 愼	Sin	Sin	911,556
임 (S) 림 (N)	林, 任	Im (S) Rim (N)	Im (S) Rim (N)	735,493
한	韓, 漢	Han	Han	715,556
오	伍, 吳	O	O	706,908
서	西, 徐	Seo	Sŏ	695,249
전	全, 田, 錢	Jeon	Chŏn	687,867
권	權	Gwon	Kwŏn	652,495
황	黃	Hwang	Hwang	644,294
송	宋, 松	Song	Song	639,082
안	安	An	An	637,786
홍	洪	Hong	Hong	518,635
양 (S) 량 (N)	梁, 楊, 樑, 襄	Yang (S) Ryang (N)	Yang (S) Ryang (N)	486,645
고	高	Go	Ko	435,839
문	門, 文	Mun	Mun	426,927
손	孫	Son	Son	415,182
배	裵	Bae	Pae	372,064
백	白	Baek	Paek	351,275
허	許	Heo	Hŏ	300,448
노 (S) 로 (N)	盧, 魯, 路	No (S) Ro (N)	No (S) Ro (N)	290,434
남	南	Nam	Nam	257,178
심	沈	Sim	Sim	252,255
주	周, 朱	Ju	Chu	215,010
하	河, 夏	Ha	Ha	213,758
성	成, 星	Seong	Sŏng	185,363
차	車	Cha	Ch'a	180,589
우	于, 禹	U	U	180,141
나 (S) 라 (N)	羅	Na (S) Ra (N)	Na (S) Ra (N)	172,022
진	晉, 眞, 陳, 秦	Jin	Chin	170,980
민	閔	Min	Min	159,054
지	智, 池	Ji	Chi	147,572
엄	嚴	Eom	Ŏm	132,990
변	卞, 邊	Byeon	Pyŏn	131,554
원	元, 袁, 苑	Won	Wŏn	120,465
방	方, 房, 邦, 龐	Bang	Pang	119,703
채	采, 菜, 蔡	Chae	Ch'ae	119,251
천	天, 千	Cheon	Ch'ŏn	112,227
