Game	November	Opponent	Score	Record	Points
11	1	@ Toronto Maple Leafs	7–1	5–2–3–1	14
12	6	Washington Capitals	4–2	6–2–3–1	16
13	8	@ New York Rangers	2–1 OT	7–2–3–1	18
14	11	New York Islanders	2–1	8–2–3–1	20
15	13	Vancouver Canucks	4–3 OT	9–2–3–1	22
16	15	Atlanta Thrashers	4–0	10–2–3–1	24
17	18	@ Carolina Hurricanes	2–2 OT	10–2–4–1	25
18	20	Minnesota Wild	3–1	11–2–4–1	27
19	22	Boston Bruins	3–2	12–2–4–1	29
20	26	@ Pittsburgh Penguins	1–1 OT	12–2–5–1	30
21	28	Carolina Hurricanes	4–2	13–2–5–1	32
22	29	@ New York Islanders	5–1	14–2–5–1	34
