Frequency	Callsign	Brand	Format	City of License	Website	Webcast
88.1	KHOY	Catholic Radio	Religious	Laredo	khoy.org	listen live
88.9	XHLDO	Radio Tamaulipas	Public Radio	Nuevo Laredo	tamaulipas.gob	[mms://200.23.59.10/radiotam listen live]
89.9	KBNL	Radio Manantial	Spanish Religious	Laredo	kbnl.com	•
91.3	XHNOE	Stereo 91.3 FM	Spanish Contemporary	Nuevo Laredo	xhnoe.com	listen live
92.7	KJBZ	Z93	Tejano	Laredo	z933.com	•
94.1	XHTLN	Imagen / RMX Laredo	Talk / Contemporary	Nuevo Laredo	rmx.com.mx	listen live
94.9	KQUR	The Works	Mainstream Rock	Laredo	949theworks.com	listen live
95.7	XHBK	Exa FM	Spanish Contemporary	Nuevo Laredo	•	•
96.5	NEW	Tu Radio	Norteño	Nuevo Laredo	•	•
97.1	XHNLO	Multimedios Radio	Spanish Contemporary	Nuevo Laredo	mmradio.com	listen live
98.1	KRRG	Big Buck Country	Country	Laredo	bigbuck98.com	•
99.3	XHNK	Digital Ecstasy	Classic Hits	Nuevo Laredo	radiorama.com	listen live
100.5	KBDR	La Ley	Tejano	Laredo	laley1005.com	listen live
101.5	XHAS	Ke Buena	Norteño	Nuevo Laredo	kebuena.com	listen live
102.3	XHMW	Los 40 Principales	Spanish Pop	Nuevo Laredo	radiorama.com	listen live
103.3	XHAHU	Radio Nuevo León	Spanish Pop	Anáhuac	•	listen live
104.5	NEW	La Más Pesada	Norteño	Nuevo Laredo	•	•
104.9	XHNLR	Radio UAT	University Radio	Nuevo Laredo	uat.mx	•
106.1	KNEX	Hot 106.1	Urban / Rhythmic Top 40	Laredo	hot1061.com	listen live
106.5	NEW	La Tremenda	Norteño	Nuevo Laredo	tremenda.com.mx	•
107.3	XHGTS	Digital 107.3	Spanish Pop	Nuevo Laredo	digital1073.com	listen live
162.55	WXK26	NOAA Weather Radio	Weather	Laredo	noaa.gov	•
