#	Episode	Directed by	Written by	U.S. Viewers (in millions)	Original airdate
1	"Insight"	John Patterson	Cynthia Saunders	13.53	September21,1996
2	"Ring Of Fire"	Peter O'Fallon	Nancy Miller	10.54	September28,1996
3	"Unholy Alliance"	P.J. Pesce	Ken Solarz	9.70	October19,1996
4	"I'll Be Watching You"	John Harrison	Lawrence Hertzog	9.81	October26,1996
5	"Unsoiled Sovereignty"	Sarah Pia Anderson	Phyllis Murphy & Jean Gennis	8.31	November2,1996
6	"Modus Operandi"	Andy Wolk	Bob Lowry	11.08	November9,1996
7	"Night Dreams"	Ian Toynton	Cynthia Saunders	10.51	November16,1996
8	"Cruel and Unusual"	Ian Sander	Sibyl Sander	10.13	December14,1996
9	"The Sorcerer's Apprentice"	Lewis Teague	Ken Solarz	9.40	January4,1997
10	"Shattered Silence"	Sarah Pia Anderson	George Geiger	9.50	January11,1997
11	"Doppelganger"	John Patterson	Bob Lowry	10.12	January18,1997
12	"Learning From the Masters"	Kevin Hooks	Jean Gennis & Phyllis Murphy	7.89	February1,1997
13	"The House that Jack Built"	Carl Schenkel	Lawrence Hertzog	8.28	February8,1997
14	"Shadow Of Angels (Part 1)"	John Patterson	Sibyl Gardner	9.34	February15,1997
15	"Shadow Of Angels (Part 2)"	Kevin Hooks	Charles D. Holland	9.56	February15,1997
16	"Film At Eleven"	Jack Bender	Steve Feke	9.05	March8,1997
17	"Crisis"	Matt Penn	Bob Lowry	8.68	March22,1997
18	"Blue Highway"	Michael Pattinson	Phyllis Murphy & Jean Gennis	10.30	April5,1997
19	"FTX: Field Training Exercise"	Michael Lange	George Geiger & Charles D. Holland	7.52	April12,1997
20	"Into the Abyss"	Dan Lerner	David A. Simons	8.56	April26,1997
21	"Venom (Part 1)"	James Whitmore Jr.	Steve Feke	8.70	May10,1997
