Rank	Country	Disposable USD 2011	Disposable USD growth	Compulsory deduction	Gross USD 2011
1	United States	42050	242	22.8%	54450
2	Ireland	41170	531	18.9%	50764
3	Luxembourg	37997	-1477	28.1%	52847
4	Switzerland	35471	-57	29.4%	50242
5	Australia	34952	835	22.3%	44983
6	United Kingdom	33513	-1272	25.1%	44743
7	Canada	32662	-648	22.7%	42253
8	Norway	32620	913	29.3%	46153
9	South Korea	31051	1341	12.3%	35406
10	Netherlands	29269	-544	37.8%	47056
11	Austria	29008	-177	33.4%	43555
12	Sweden	28301	480	25.0%	37734
13	Denmark	27974	-335	38.6%	45560
14	Japan	27763	724	21.0%	35143
15	France	27452	93	28.0%	38128
16	Spain	26856	-466	21.9%	34387
17	Finland	25747	146	29.8%	36676
18	Belgium	25642	25	42.2%	44364
19	Israel	24225	147	18.9%	28804
20	Germany	24174	379	39.9%	40223
21	Italy	23194	-562	30.8%	33517
22	Greece	21352	-2039	18.8%	26295
23	Portugal	17170	-2044	24.5%	22742
24	Czech Republic	15115	-191	23.0%	19630
25	Slovakia	14701	-328	22.9%	19068
26	Poland	14390	116	28.3%	20069
27	Estonia	13737	-444	20.7%	17323
