Model	Speed (GHz)	L3 Cache (MB)	QPI speed (GT/s)	DDR3 Clock (MHz)	TDP (W)	Cores	Threads	Turbo-Boost
E5502	1.87	4	4.8	800	80	2	2	No
E5503	2.00	4	4.8	800	80	2	2	No
E5504	2.00	4	4.8	800	80	4	4	No
E5506	2.13	4	4.8	800	80	4	4	No
L5506	2.13	4	4.8	800	60	4	4	No
E5507	2.26	4	4.8	800	80	4	4	No
L5518	2.13	8	5.86	1066	60	4	8	Yes
E5520	2.26	8	5.86	1066	80	4	8	Yes
L5520	2.26	8	5.86	1066	60	4	8	Yes
E5530	2.40	8	5.86	1066	80	4	8	Yes
L5530	2.40	8	5.86	1066	60	4	8	Yes
E5540	2.53	8	5.86	1066	80	4	8	Yes
X5550	2.66	8	6.4	1066	95	4	8	Yes
X5560	2.80	8	6.4	1066	95	4	8	Yes
X5570	2.93	8	6.4	1066	95	4	8	Yes
W5580	3.20	8	6.4	1066	130	4	8	Yes
