Game	January	Opponent	Score	Record
39	1	@ Washington Capitals	3 - 0	17-20-2
40	5	Quebec Nordiques	5 - 4	17-21-2
41	10	Montreal Canadiens	6 - 4	18-21-2
42	12	St. Louis Blues	2 - 2 OT	18-21-3
43	14	@ Vancouver Canucks	2 - 1	19-21-3
44	15	@ Los Angeles Kings	4 - 3	20-21-3
45	18	@ Edmonton Oilers	5 - 4	21-21-3
46	20	Hartford Whalers	5 - 0	21-22-3
47	22	@ Toronto Maple Leafs	4 - 2	22-22-3
48	23	Quebec Nordiques	4 - 0	22-23-3
49	27	@ Quebec Nordiques	6 - 6 OT	22-23-4
50	29	@ Chicago Black Hawks	5 - 4	22-24-4
51	31	@ Buffalo Sabres	5 - 3	22-25-4
