Tournament	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	1R	2R	QF	1R	3R	3R	SF	3R	2R	A	A	SF	2R
French Open	2R	3R	2R	1R	1R	2R	2R	QF	1R	F	2R	A	F	QF	QF
Wimbledon	2R	SF	1R	2R	QF	2R	1R	3R	1R	F	2R	A	QF	W	2R
US Open	1R	2R	2R	QF	1R	3R	2R	3R	F	QF	SF	2R	3R	QF	1R
Win–Loss	2–3	7–3	2–4	5–4	5–4	4–4	4–4	9–4	9–4	14–4	7–4	1–1	10–3	16–3	5–4
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
Tour Championships	A	A	A	QF	QF	A	A	A	A	F	SF	A	F	F	A
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	Not Held	Not Held	1R	Not Held	Not Held	Not Held	1R	Not Held	Not Held	Not Held	A	Not Held	Not Held	Not Held	2R
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	A	1R	2R	2R	1R	A	1R	A	A	A	A	W	1R	A
Miami	A	A	2R	1R	1R	1R	1R	2R	SF	1R	W	A	2R	1R	1R
Madrid	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	A	1R	F	QF
Beijing	Not Held	Not Held	Tier IV	Tier IV	Tier IV	Tier II	Tier II	Tier II	Tier II	Tier II	Tier II	A	QF	W	SF
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	Not Held	Not Held	Not Held	Tier II	Tier II	Tier II	Tier II	Tier II	Tier II	Tier II	Tier II	A	F	F	Premier
Doha	Not Held	Not Held	Not Held	Tier III	Tier III	Tier III	Tier II	Tier II	Tier II	Tier II	SF	Not Held	Not Held	P	A
Rome	A	A	A	A	1R	SF	A	A	SF	2R	2R	A	2R	SF	2R
Montreal / Toronto	A	2R	A	F	1R	2R	A	A	SF	W	A	A	F	2R	F
Cincinnati	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Tier III	Tier III	Tier III	Tier III	Tier III	A	2R	SF	F
Tokyo	A	A	QF	QF	1R	SF	1R	A	1R	A	1R	A	QF	A	QF
Career statistics	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Tournament Played	8	16	24	21	26	21	21	18	20	20	17	5	18	21	20
Titles	1	2	1	1	0	1	1	4	2	3	4	1	2	6	1
Finals	2	3	4	3	2	1	3	5	6	7	4	1	9	10	3
Overall Win–Loss	11–7	23–14	31–23	30–20	23–26	23–20	21–19	38–14	45–18	45–17	34–11	8–3	41–16	54–14	33–19
Year-End Ranking	77	26	33	20	30	38	49	25	7	4	4	123	6	2	16
