Game	December	Opponent	Score	Record
25	1	@ California Golden Seals	3 - 3	15-7-3
26	3	Atlanta Flames	3 - 2	16-7-3
27	6	Buffalo Sabres	3 - 2	16-8-3
28	9	@ New York Islanders	4 - 1	17-8-3
29	10	New York Islanders	4 - 1	18-8-3
30	13	@ Toronto Maple Leafs	4 - 3	19-8-3
31	14	@ Boston Bruins	4 - 2	19-9-3
32	16	@ Minnesota North Stars	5 - 1	19-10-3
33	17	Pittsburgh Penguins	9 - 1	20-10-3
34	20	@ St. Louis Blues	5 - 4	21-10-3
35	21	Atlanta Flames	5 - 2	21-11-3
36	24	Detroit Red Wings	5 - 0	22-11-3
37	27	Buffalo Sabres	4 - 1	22-12-3
38	31	St. Louis Blues	6 - 1	23-12-3
