Name	Location	Height (m)	Stories	Year of completion
Company Business Tower Torre A	São Paulo	189	47	2013
Mirante do Vale	São Paulo	170	51	1960
Edifício Itália	São Paulo	165	45	1965
Villa Serena Torre A	Balneario Camboriu	164	49	2012
Villa Serena Torre B	Balneario Camboriu	164	49	2012
Rio Sul Center	Rio de Janeiro	164	50	1980
Edifício Altino Arantes	São Paulo	161	36	1947
105 Lélio Gama St.	Rio de Janeiro	160	40	1980
Torre Norte	São Paulo	158	38	1999
Begônias	São Paulo	158	41	2008
Jabuticabeiras	São Paulo	158	41	2008
Magnólias	São Paulo	158	41	2008
Resedá	São Paulo	158	41	2008
Zíneas	São Paulo	158	41	2008
Ipês	São Paulo	158	41	2008
Limantos	São Paulo	158	41	2011
Mansão Margarida Costa Pinto	Salvador	154	43	2001
Centro Candido Mendes	Rio de Janeiro	154	43	1978
Ventura Corporate Towers	Rio de Janeiro	151	34	2010
Edificio Bergamo	Curitiba	151	42	2001
WTorre São Paulo	São Paulo	151	35	2008
Birmann 21	São Paulo	149	24	1996
E-Tower	São Paulo	149	39	2005
West Side	Barueri	147	37	2005
Curitiba Trade Center	Curitiba	147	34	1995
Sede do BankBoston	São Paulo	145	35	2002
Praia do Sol	Balneario Camboriu	145	38	2002
Jardins do Rosarinho	Recife	144	38	2002
Banco do Brasil Building	São Paulo	143	24	1955
Eldorado Business Tower	São Paulo	141	36	2007
Canário	São Paulo	141	40	2009
Inhambú	São Paulo	141	40	2009
Edifício Santos Dumont	Rio de Janeiro	141	45	1975
Royal Garden	Maringá	140	39	1991
Plaza Centenário	São Paulo	139	34	1995
Lineu de Paula Machado	Rio de Janeiro	138	34	1980
João Olímpio Filho	Natal	138	43	2009
Evolution Corporate	Curitiba	137	34	2004
Mandarim	São Paulo	137	42	2006
Mundo Plaza Empresarial	Salvador	136	41	2010
Píer Maurício de Nassau	Recife	135	41	2008
Píer Duarte Coelho	Recife	135	41	2008
Frederico Bokel	Rio de Janeiro	134	37	1970
Barão de Iguape	São Paulo	133	37	1959
Edifício Conde Pereira Carneiro	Rio de Janeiro	133	43	1976
Freguesia de Casa Forte	Recife	131	42	2007
Seculo Frontin	Rio de Janeiro	131	40	1983
Terra Brasilis	Recife	130	44	2005
Ipiranga 165	São Paulo	130	36	1968
Banco Centro do Brasil	Rio de Janeiro	130	25	1984
Edificio Champagnat	Curitiba	130	37	1995
Grande São Paulo	São Paulo	130	36	1971
