Draft	Round	Pick	Player	College/High School/Club
1995	1	6	Bryant Reeves Category:Articles with hCards	Oklahoma State
1995	2	36	Lawrence Moten Category:Articles with hCards	Syracuse
1996	1	3	Shareef Abdur-Rahim Category:Articles with hCards	California
1996	1	22	Roy Rogers Category:Articles with hCards	Alabama
1996	2	51	Chris Robinson Category:Articles with hCards	Western Kentucky
1997	1	4	Antonio Daniels Category:Articles with hCards	Indian Hills Junior College
1997	2	53	C. J. Bruton Category:Articles with hCards	Bowling Green
1998	1	2	Mike Bibby Category:Articles with hCards	Arizona
1998	2	56	J.R. Henderson Category:Articles with hCards	UCLA
1999	1	2	Steve Francis Category:Articles with hCards	Maryland
1999	2	37	Obinna Ekezie Category:Articles with hCards	Maryland
1999	2	51	Antwain Smith Category:Articles with hCards	Saint Paul's (VA)
2000	1	2	Stromile Swift Category:Articles with hCards	LSU
2001	1	6	Shane Battier Category:Articles with hCards	Duke
2001	1	27	Jamaal Tinsley Category:Articles with hCards	Iowa State
2001	2	33	Will Solomon Category:Articles with hCards	Clemson
2001	2	48	Antonis Fotsis Category:Articles with hCards	Panathinaikos ( Greece )
2002	1	4	Drew Gooden Category:Articles with hCards	Kansas
2002	2	32	Robert Archibald Category:Articles with hCards	Illinois
2002	2	45	Matt Barnes Category:Articles with hCards	UCLA
2003	1	13	Marcus Banks Category:Articles with hCards	UNLV
2003	1	27	Kendrick Perkins Category:Articles with hCards	Clifton J. Ozen High School
2004	2	49	Sergei Lishouk Category:Articles with hCards	Khimik Yuzhny ( Ukraine )
2005	1	19	Hakim Warrick Category:Articles with hCards	Syracuse
2006	1	24	Kyle Lowry Category:Articles with hCards	Villanova
2007	1	4	Mike Conley, Jr. Category:Articles with hCards	Ohio State
2008	1	5	Kevin Love Category:Articles with hCards	UCLA
2008	1	28	Donte Greene Category:Articles with hCards	Syracuse
2009	1	2	Hasheem Thabeet Category:Articles with hCards	Connecticut
2009	1	27	DeMarre Carroll Category:Articles with hCards	Missouri
2009	2	36	Sam Young Category:Articles with hCards	Pittsburgh
2010	1	12	Xavier Henry Category:Articles with hCards	Kansas
2010	1	25	Dominique Jones Category:Articles with hCards	South Florida
2010	1	28	Greivis Vasquez Category:Articles with hCards	Maryland
2011	2	49	Josh Selby Category:Articles with hCards	Kansas
2012	1	25	Tony Wroten Category:Articles with hCards	Washington
