Track	Recorded	Catalogue	Release Date	Chart Peak	Song Title	Time
1.	9/5/57	47-7035b	9/24/57	#18	Treat Me Nice	2:10
2.	9/6/57	47-7600b	6/23/59	#12	My Wish Came True	2:33
3.	9/6/57	47-7150	1/7/58	#1	Don't	2:48
4.	2/11/58	CP1 3082	12/78	#113	Danny	1:51
5.	1/15/58	47-7280	6/10/58	#1	Hard Headed Woman	1:53
6.	1/15/58	LPM 1884	9/19/58	#2	Trouble	2:16
7.	1/15/58	LPM 1884	9/19/58	#2	New Orleans	1:58
8.	1/15/58	LPM 1884	9/19/58	#2	Crawfish	1:38
9.	1/16/58	LPM 1884	9/19/58	#2	Dixieland Rock	1:46
10.	1/16/58	LPM 1884	9/19/58	#2	Lover Doll	2:09
11.	1/16/58	47-7280b	6/10/58	#25	Don't Ask Me Why	2:06
12.	1/16/58	LPM 1884	9/19/58	#2	As Long As I Have You	1:50
13.	1/23/58	LPM 1884	9/19/58	#2	King Creole	2:08
14.	1/23/58	LPM 1884	9/19/58	#2	Young Dreams	2:23
15.	2/11/58	LPM 1884	9/19/58	#2	Steadfast, Loyal And True	1:15
16.	2/1/58	47-7240b	4/1/58	#15	Doncha' Think It's Time	1:54
17.	2/1/58	LSP 3450	8/10/65	#10	Your Cheatin' Heart	2:24
18.	2/1/58	47-7240	4/1/58	#2	Wear My Ring Around Your Neck	2:13
19.	6/10/58	47-7506b	3/10/59	#4	I Need Your Love Tonight	2:04
20.	6/10/58	47-7600	6/23/59	#1	A Big Hunk O' Love	2:12
21.	6/10/58	47-8440	9/22/64	#16	Ain't That Loving You Baby	2:22
22.	6/10/58	47-7506	3/10/59	#2	(Now and Then There's) A Fool Such as I	2:36
23.	6/11/58	47-7410	10/21/58	#8	I Got Stung	1:49
24.	9/22/58	EPA 4325	12/58	#2	expanded interview segment	12:34
