Name	Location	District	Altitude (metres)	Region
Abi Gamin	Garhwal	Chamoli	7355	Kamet
Arwa Crest	Garhwal	Chamoli	6250	Gangotri
Arwa Spire	Garhwal	Chamoli	6193	Gangotri
Arwa Tower	Garhwal	Chamoli	6352	Gangotri
Avalanche Peak I	Garhwal	Chamoli	6443	Gangotri
Avalanche Peak II	Garhwal	Chamoli	6196	Gangotri
Balakun	Garhwal	Chamoli	6471	Gangotri
Bamba Dhura	Kumaun	Pithoragarh	6334	Panchchuli
Bandarpunch I	Garhwal	Uttarkashi	6316	Bandarpunch
Bandarpunch II (White Peak)	Garhwal	Uttarkashi	6102	Bandarpunch
Bhrigupanth	Garhwal	Uttarkashi	6772	Gangotri
Burphu Dhura	Kumaun	Pithoragarh	6334	Panchchuli
Chaudhara	Kumaun	Pithoragarh	6510	Panchchuli
Chaukhamba I	Garhwal	Uttarkashi ?	7138	Gangotri
Chaukhamba II	Garhwal	Uttarkashi ?	7058	Gangotri
Chaukhamba III	Garhwal	Uttarkashi ?	6974	Gangotri
Chaukhamba IV	Garhwal	Uttarkashi ?	6854	Gangotri
Chiring We	Kumaun	Pithoragarh	6559	Panchchuli
Devtoli	Garhwal	Chamoli	6788	Nanda devi
Haathi Parvat	Garhwal	Chamoli	6727	Kamet
Hardeol	Kumaon	Pithoragarh	7151	Nanda devi
Kalanag (Black Peak)	Garhwal	Uttarkashi	6387	Bandarpunch
Kamet	Garhwal	Chamoli	7756	Kamet
Kedarnath (Main)	Garhwal	Uttarkashi ?	6940	Gangotri
Kedarnath Dome	Garhwal	Uttarkashi ?	6831	Gangotri
Mana Peak	Garhwal	Chamoli	7272	Kamet
Maiktoli	Garhwal	Chamoli	6803	Nanda devi
Meru Peak	Garhwal	Uttarkashi	6803	Gangotri
Mrigthuni	Garhwal	Chamoli	6855	Nanda devi
Mukut Parbat	Garhwal	Chamoli	7242	Kamet
Nagalaphu	Kumaun	Pithoragarh	6410	Panchchuli
Nanda Devi	Garhwal	Chamoli	7816	Nanda devi
Nanda Devi East	Garhwal	Chamoli	7434	Nanda devi
Nanda Gond	Kumaun	Pithoragarh	6315	Nanda devi
Nanda Khat	Garhwal	Chamoli	6611	Nanda devi
Nanda Kot	Kumaun	Pithoragarh	6861	Nanda devi
Nanda Pal	Kumaun	Pithoragarh	6306	Nanda devi
Nilakhant	Garhwal	Chamoli	6596	Gangotri
Om Parvat	Kumaun	Pithoragarh	6191	Panchchuli
Panchchuli I	Kumaun	Pithoragarh	6354	Panchchuli
Panchchuli II	Kumaun	Pithoragarh	6903	Panchchuli
Panchchuli III	Kumaun	Pithoragarh	6312	Panchchuli
Panchchuli IV	Kumaun	Pithoragarh	6334	Panchchuli
Panchchuli V	Kumaun	Pithoragarh	6437	Panchchuli
Panwali Dwar	Garhwal	Chamoli	6663	Nanda devi
Rajrambha	Kumaun	Pithoragarh	6539	Panchchuli
Rishi Pahar	Garhwal	Chamoli	6997	Nanda devi
Sangthang	Kumaun	Pithoragarh	6480	Panchchuli
Satopanth	Garhwal	Uttarkashi	7075	Gangotri
Shivling	Garhwal	Uttarkashi ?	6543	Gangotri
Suitilla or Suj Tilla East	Kumaun	Pithoragarh	6373	Panchchuli
Suj Tilla West	Garhwal	Pithoragarh	6333	Panchchuli
Swargarohini	Garhwal	Uttarkashi	6252	Bandarpunch
Thalay Sagar	Garhwal	Uttarkashi ?	6904	Gangotri
Tirsuli	Kumaun	Pithoragarh	7074	Nanda devi
Tirsuli West	Garhwal	Chamoli	7035	Nanda devi
Trisul I	Kumaun - Garhwal	Chamoli - Bageshwar	7120	Nanda devi
Trisul II	Kumaun - Garhwal	Chamoli - Bageshwar	6690	Nanda devi
Trisul III	Kumaun - Garhwal	Chamoli - Bageshwar	6008	Nanda devi
Uja Tirche	Garhwal - Kumaun	Chamoli - Pithoragarh	6204	Nanda devi
