Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Mar 25, 1984	Women's Kemper Open	–9 (71-72-73-73=289)	3 strokes	Pat Bradley
Apr 29, 1984	Freedom/Orlando Classic	–14 (69-67-66=202)	2 strokes	Alice Miller
Aug 26, 1984	Columbia Savings Classic	–7 (72-70-67-72=281)	1 stroke	Muffin Spencer-Devlin
Mar 3, 1985	Samaritan Turquoise Classic	–8 (69-68-72-71=280)	Playoff	Patty Sheehan
Sep 2, 1985	Rail Charity Classic	–11 (65-73-67=205)	2 strokes	Janet Anderson
Aug 10, 1986	Henredon Classic	–11 (70-67-70-70=277)	Playoff	JoAnne Carner
Sep 1, 1986	Rail Charity Classic	–11 (70-72-63=205)	Playoff	Cathy Gerring , Alice Ritzman
Mar 22, 1987	Circle K Tucson Open	–7 (70-71-72-68=281)	2 strokes	Jan Stephenson
Apr 5, 1987	Nabisco Dinah Shore	–5 (68-75-72-68=283)	Playoff	Patty Sheehan
Jun 7, 1987	McDonald's Championship	–6 (72-68-71-67=278)	2 strokes	Ayako Okamoto
Aug 23, 1987	Atlantic City LPGA Classic	–6 (70-71-66=207)	3 strokes	Nancy Lopez
Mar 6, 1988	Women's Kemper Open	–8 (73-72-66-69=280)	1 stroke	Beth Daniel
Sep 5, 1988	Rail Charity Golf Classic	–9 (68-68-71=207)	2 strokes	Margaret Ward
Sep 11, 1988	Cellular One-Ping Golf Championship	–3 (71-70-72=213)	1 stroke	Colleen Walker
Jan 15, 1989	The Jamaica Classic	–11 (64-68-70=202)	1 stroke	Nancy Lopez
Feb 26, 1989	Women's Kemper Open	–14 (63-72-67=202)	2 strokes	Jane Geddes
Apr 23, 1989	USX Golf Classic	–13 (67-70-72-66=275)	Playoff	Lynn Adams
Jun 25, 1989	McDonald's Championship	–16 (69-65-71-67=272)	2 strokes	Pat Bradley , Shirley Furlong
Jul 16, 1989	U.S. Women's Open	–6 (67-71-72-68=278)	4 strokes	Nancy Lopez
Aug 27, 1989	Nestle World Championship	–13 (66-71-70-68=275)	1 stroke	Pat Bradley , Patty Sheehan
Apr 1, 1990	Nabisco Dinah Shore	–5 (69-70-69-75=283)	2 strokes	Shirley Furlong , Kathy Postlewait
Jul 15, 1990	U.S. Women's Open	–4 (72-71-71-70=284)	1 stroke	Patty Sheehan
Aug 19, 1990	JAL Big Apple Classic	–15 (75-67-63-68=273)	3 strokes	Beth Daniel
May 26, 1991	LPGA Corning Classic	–15 (69-73-65-66=273)	6 strokes	Deb Richard
Jul 21, 1991	JAL Big Apple Classic	–9 (73-66-67-73=279)	1 stroke	Ayako Okamoto
May 17, 1992	Mazda LPGA Championship	–17 (68-66-67-66=267)	11 strokes	JoAnne Carner , Liselotte Neumann , Karen Noble
Jul 12, 1992	The Phar-Mor in Youngstown	–7 (71-67-71=209)	Playoff	Donna Andrews , Beth Daniel , Meg Mallon
Nov 8, 1992	Mazda Japan Classic	–11 (66-72-67=205)	Playoff	Helen Alfredsson
Nov 7, 1993	Toray Japan Queens Cup	–11 (68-70-67=205)	1 stroke	Jane Geddes
Jun 25, 1995	ShopRite LPGA Classic	–9 (66-71-67=204)	2 strokes	Beth Daniel , Rosie Jones
Mar 30, 1997	Nabisco Dinah Shore	–12 (71-67-67-71=276)	2 strokes	Kris Tschetter
Feb 19, 2000	Cup Noodles Hawaiian Ladies Open	–12 (67-67-70=204)	2 strokes	Brandie Burton
May 28, 2000	LPGA Corning Classic	–12 (69-68-69-70=276)	Playoff	Vicki Goetze-Ackerman , Kelli Kuehne
Jul 1, 2001	ShopRite LPGA Classic	–12 (65-69-67=201)	2 strokes	Lorie Kane
