Competition	Date	Home Team	Score	Away Team	Venue	Attedance	Notes
2010 K-League	2010-05-05	FC Seoul	4 : 0	Seongnam Ilhwa Chunma	Seoul World Cup Stadium	60,747	Children's Day
2010 K-League	2010-12-05	FC Seoul	2 : 1	Jeju United	Seoul World Cup Stadium	56,759	Weekend K-League Championship Final 2nd Leg
2013 AFC Champions League	2013-10-26	FC Seoul	2 : 2	Guangzhou Evergrande	Seoul World Cup Stadium	55,501	Weekend AFC Champions League Final 1st Leg
2007 K-League	2007-04-08	FC Seoul	0 : 1	Suwon Samsung Bluewings	Seoul World Cup Stadium	55,397	Weekend
2011 K-League	2011-03-06	FC Seoul	0 : 2	Suwon Samsung Bluewings	Seoul World Cup Stadium	51,606	Weekend 2011 Season Home Opener
2012 K-League	2012-08-19	FC Seoul	0 : 2	Suwon Samsung Bluewings	Seoul World Cup Stadium	50,787	Weekend
2010 K-League	2010-04-04	FC Seoul	3 : 1	Suwon Samsung Bluewings	Seoul World Cup Stadium	48,558	Weekend
2005 K-League	2005-07-10	FC Seoul	4 : 1	Pohang Steelers	Seoul World Cup Stadium	48,375	Weekend
2004 K-League	2004-04-03	FC Seoul	1 : 1	Suwon Samsung Bluewings	Seoul World Cup Stadium	47,928	Weekend
2012 K-League	2012-05-05	FC Seoul	2 : 1	Pohang Steelers	Seoul World Cup Stadium	45,982	Weekend (Children's Day)
