Week	Date	Opponent	Result	Attendance
1	September 18, 1977	at Oakland Raiders	L 24-0	51,022
2	September 25, 1977	at Kansas City Chiefs	W 23-7	56,146
3	October 2, 1977	Cincinnati Bengals	W 24-3	40,352
4	October 9, 1977	at New Orleans Saints	W 14-0	53,942
5	October 16, 1977	New England Patriots	L 24-20	50,327
6	October 23, 1977	Kansas City Chiefs	L 21-16	33,010
7	October 30, 1977	at Miami Dolphins	W 14-13	40,670
8	November 6, 1977	at Detroit Lions	L 20-0	72,559
9	November 13, 1977	Denver Broncos	L 17-14	45,211
10	November 20, 1977	Oakland Raiders	W 12-7	50,887
11	November 27, 1977	at Seattle Seahawks	W 30-28	58,994
12	December 4, 1977	Cleveland Browns	W 37-14	37,312
13	December 11, 1977	at Denver Broncos	L 17-9	74,905
14	December 18, 1977	Pittsburgh Steelers	L 10-9	50,727
