Species	Lived when ( mya )	Lived where	Fossil record	Discovery / publication of name
Denisova hominin	0.04	Russia	1 site	2010
H.antecessor	1.2–0.8	Spain	2 sites	1997
H.cepranensis	0.5–0.35	Italy	1 skull cap	1994/2003
H.erectus	1.8–0.2	Africa, Eurasia ( Java , China, India, Caucasus )	Many	1891/1892
H.ergaster	1.9–1.4	Eastern and Southern Africa	Many	1975
H.floresiensis	0.10–0.012	Indonesia	7 individuals	2003/2004
H.gautengensis	>2–0.6	South Africa	1 individual	2010/2010
H.habilis	2.3–1.4	Africa	Many	1960/1964
H.heidelbergensis	0.6–0.35	Europe, Africa, China	Many	1908
H.neanderthalensis	0.35–0.03	Europe, Western Asia	Many	(1829)/1864
H.rhodesiensis	0.3–0.12	Zambia	Very few	1921
H.rudolfensis	1.9	Kenya	2 sites	1972/1986
Red Deer Cave people	0.0145–0.0115	China	Very few	2012
H.sapiensidaltu	0.16–0.15	Ethiopia	3 craniums	1997/2003
H.sapiens (modern humans)	0.2–present	Worldwide	Still living	—/1758
