Game #	Date	Visitor	Score	Home	Record	Points
12	November 1	Los Angeles	3 - 1	Quebec	7-5-0	14
13	November 2	Los Angeles	3 - 5	Montreal	7-6-0	14
14	November 5	Los Angeles	6 - 4	Toronto	8-6-0	16
15	November 6	Los Angeles	5 - 3	Chicago	9-6-0	18
16	November 10	Hartford	7 - 2	Los Angeles	10-6-0	20
17	November 12	Pittsburgh	7 - 2	Los Angeles	11-6-0	22
18	November 15	Vancouver	6 - 4	Los Angeles	12-6-0	24
19	November 17	N.Y. Rangers	5 - 6	Los Angeles	12-7-0	24
20	November 19	Buffalo	5 - 4	Los Angeles	13-7-0	26
21	November 22	Los Angeles	6 - 1	Philadelphia	14-7-0	28
22	November 23	Los Angeles	8 - 3	Detroit	15-7-0	30
23	November 26	Los Angeles	1 - 4	Calgary	15-8-0	30
24	November 27	Los Angeles	2 - 5	Vancouver	15-9-0	30
25	November 29	New Jersey	9 - 3	Los Angeles	16-9-0	32
