Rank	Nation	Gold	Silver	Bronze	Total
1	France (FRA)	7	5	1	13
2	Netherlands (NED)	7	2	5	14
3	Great Britain (GBR)	6	4	1	11
4	Australia (AUS)	4	5	4	13
5	Italy (ITA)	4	1	1	6
6	United States (USA)	3	5	5	13
7	Germany (GER)	3	5	2	10
8	Russia (RUS)	2	2	5	9
9	Canada (CAN)	1	2	3	6
10	New Zealand (NZL)	1	1	0	2
11	Colombia (COL)	1	0	1	2
11	Soviet Union (URS)	1	0	1	2
13	Estonia (EST)	1	0	0	1
13	Norway (NOR)	1	0	0	1
15	China (CHN)	0	3	3	6
15	Switzerland (SUI)	0	1	2	3
17	West Germany (FRG)	0	1	1	2
18	Cuba (CUB)	0	1	0	1
18	East Germany (GDR)	0	1	0	1
18	Mexico (MEX)	0	1	0	1
18	Poland (POL)	0	1	0	1
18	Sweden (SWE)	0	1	0	1
23	Spain (ESP)	0	0	2	2
23	Ukraine (UKR)	0	0	2	2
25	Belarus (BLR)	0	0	1	1
25	Hong Kong (HKG)	0	0	1	1
25	Lithuania (LTU)	0	0	1	1
Total	Total	42	42	42	126
