Date	Visitor	Score	Home	Decision	Attendance	Record
January 3	Tampa Bay Lightning	3 – 6	Montreal	Huet	21,273	20–13–7
January 5	Washington Capitals	5 – 4	Montreal	Price	21,273	20–13–8
January 8	Chicago Blackhawks	3 – 4	Montreal	Huet	21,273	21–13–8
January 10	Montreal	5 – 2	Boston Bruins	Huet	17,565	22–13–8
January 12	Montreal	1 – 4	New York Rangers	Huet	18,200	22–14–8
January 15	Montreal	3 – 1	New York Islanders	Huet	11,439	23–14–8
January 17	Montreal	3 – 2	Atlanta Thrashers	Huet	16,181	24–14–8
January 19	Pittsburgh Penguins	2 – 0	Montreal	Huet	21,273	24–15–8
January 22	Boston Bruins	2 – 8	Montreal	Huet	21,273	25–15–8
January 24	Montreal	4 – 3	New Jersey Devils	Huet	14,257	26–15–8
January 29	Washington Capitals	0 – 4	Montreal	Huet	21,273	27–15–8
January 31	Montreal	4 – 5	Washington Capitals	Huet	14,930	27–15–9
