Party	Results 2004	CSA 5/14/09	Viavoice 5/15/09	Ifop- La Croix 5/15/09	Ipsos 5/16/09	OpinionWay 5/18/09	CSA 5/20/09	Ipsos 5/25/09	TNS-Sofres 5/26/09	OpinionWay 5/28/09	TNS-Sofres 5/28/09
UMP - NC	16.64%	28%	27%	26%	28%	28%	26%	26%	26%	26%	26%
PS	28.90%	22%	22%	21.5%	22%	21%	21%	20%	19%	20%	20%
MoDem	11.96%	13%	13%	14%	11%	13%	14%	13%	14%	13%	13%
FN	9.81%	6%	6%	7.5%	5%	6%	7%	5.5%	6%	7%	6%
Others	6.74%	4%	2%	2%	3%	3%	4%	4%	4.5%	5.5%	3.5%
Libertas	8.4%	5%	5%	5%	6%	5.5%	6%	6%	4%	6%	4.5%
Europe Écologie	7.41%	10%	9%	8%	10%	10%	9%	10.5%	11%	10%	11%
Left Front	5.88%	4%	6%	6.5%	5%	5%	5%	5%	7%	5%	7%
NPA	2.56%	5%	6%	7.5%	7%	6%	6%	7%	6%	6%	6%
LO	2.56%	2%	2%	2%	2%	2%	1%	2%	2%	1%	2.5%
DLR	0.00%	1%	2%	—	1%	0.5%	1%	1%	0.5%	0.5%	0.5%
