Name	Year	Landfall	NHC Advisory Number	V(mph)	R(miles)	Saffir-Simpson Category	CHI
Bonnie	1998	North Carolina	31B	115	115	3	10.7
Earl	1998	Florida	11	80	115	1	4.6
Georges	1998	Mississippi	51B	105	45	2	5.1
Bret	1999	Texas	17	140	40	4	10.4
Floyd	1999	North Carolina	34A	110	115	2	9.6
Irene	1999	Florida	9	75	30	1	1.8
Lili	2002	Louisiana	48A	100	60	2	5.2
Claudette	2003	Texas	27A	75	30	1	1.8
Isabel	2003	North Carolina	49A	100	115	2	7.7
Charley	2004	Florida	18	145	30	4	10.4
Frances	2004	Florida	44A	105	75	2	6.6
Ivan	2004	Alabama	55B	130	105	3	13.5
Jeanne	2004	Florida	49B	115	70	3	8.0
Dennis	2005	Florida	25B	120	40	3	6.9
Katrina	2005	Florida	9	75	15	1	1.4
Katrina	2005	Louisiana	26A	145	120	4	19.0
Rita	2005	Texas	26B	120	85	3	9.9
