Player	Nationality	Jersey Number(s)	Position	Years
Don MacLean Category:Articles with hCards	United States	24	PF	1999
Šarūnas Marčiulionis Category:Articles with hCards	Lithuania	30	SG	1994–1995
Donyell Marshall Category:Articles with hCards	United States	42	PF	2008
Vester Marshall Category:Articles with hCards	United States	45	F	1973–1974
Brian Martin Category:Articles with hCards	United States	35	PF	1985
Desmond Mason Category:Articles with hCards	United States	24	SG / SF	2000 – 2003
Vernon Maxwell Category:Articles with hCards	United States	3	SG	1999–2000
Tim McCormick Category:Articles with hCards	United States	40	C	1984 – 1986
Jelani McCoy Category:Articles with hCards	United States	34	C	1998 – 2001
Scooter McCray Category:Articles with hCards	United States	21	SG / SF	1983 – 1984
Xavier McDaniel Category:Articles with hCards	United States	34	SF	1985 – 1990
Jim McDaniels Category:Articles with hCards	United States	44	PF / C	1972 – 1973
Jim McIlvaine Category:Articles with hCards	United States	22	C	1996 – 1998
Kennedy McIntosh Category:Articles with hCards	United States	40, 43	PF	1972 – 1974
Derrick McKey Category:Articles with hCards	United States	31	SF	1987 – 1993
^ Nate McMillan Category:Articles with hCards	United States	10	SF / SF	1986 – 1998
Scott Meents Category:Articles with hCards	United States	50, 8	PF	1989 – 1991
Tom Meschery Category:Articles with hCards	United States	14	PF	1967 – 1971
Mikki Moore Category:Articles with hCards	United States	33	PF / Center	2005–2006
Erwin Mueller Category:Articles with hCards	United States	24	PF / Center	1969 ( 2 seasons )
Ronald Murray Category:Articles with hCards	United States	15, 22	PG / SG	2003 – 2006
Dorie Murrey Category:Articles with hCards	United States	41	PF / Center	1967 – 1970
