Round	Pick	Player	Position	School/Club Team
1	6	Johnny Strzykalski	Back	Marquette
3	21	Bob Nussbaumer	Halfback	Michigan
4	36	Ed Cody	Back	Purdue
6	46	John Ferraro	Tackle	USC
7	56	Art Renner	End	Michigan
8	66	Bert Cole	Tackle	Oklahoma State
9	76	Grant Darnell	Guard	Texas A&M
10	86	Joe McAfee	Back	Holy Cross
11	96	Steve Conroy	Back	Holy Cross
12	106	Billy Hildebrand	End	Mississippi State
13	116	Tom Hand	Center	Iowa
14	126	George Hill	Guard	Georgia Tech
15	136	Jim Hough	Back	Clemson
16	146	Dean Gaines	Tackle	Georgia Tech
17	156	J. P. Miller	Guard	Georgia
18	166	Boyd Morse	End	Arizona
19	176	Joe Bradford	Center	USC
20	186	Bill DeRosa	Back	Boston College
21	196	Ralph Grant	Back	Bucknell
22	206	Howie Brown	Guard	Indiana
23	216	Andy Kosmac	Center	LSU
24	226	Maurice Stacy	Back	Washington
25	236	Chick Davidson	Tackle	Cornell
26	246	John Norton	Back	Washington
27	256	Ed Holtsinger	Back	Georgia Tech
28	266	Joe Campbell	End	Holy Cross
29	276	Francis Saunders	Tackle	Clemson
30	286	Al Sparlis	Guard	UCLA
31	291	Ralph Clymer	Guard	Purdue
32	296	Joervin Henderson	Center	Missouri
