Monday	Tuesday	Wednesday	Thursday	Friday
Mike North (begins 10 pm Sunday)	Fox Sports Tonight (begins 10 pm day before)	Fox Sports Tonight (begins 10 pm day before)	Fox Sports Tonight (begins 10 pm day before)	Fox Sports Tonight (begins 10 pm day before)
JT The Brick	JT The Brick	JT The Brick	JT The Brick	JT The Brick
Fox Sports Daybreak	Fox Sports Daybreak	Fox Sports Daybreak	Fox Sports Daybreak	Fox Sports Daybreak
The Dan Patrick Show	The Dan Patrick Show	The Dan Patrick Show	The Dan Patrick Show	The Dan Patrick Show
Jay Mohr Sports	Jay Mohr Sports	Jay Mohr Sports	Jay Mohr Sports	Jay Mohr Sports
Fox Sports Primetime	Fox Sports Primetime	Fox Sports Primetime	Fox Sports Primetime	Fox Sports Primetime
Petros & Money	Petros & Money	Petros & Money	Petros & Money	Petros & Money
Fox Sports Tonight (ends 1 am next day)	Fox Sports Tonight (ends 1 am next day)	Fox Sports Tonight (ends 1 am next day)	Fox Sports Tonight (ends 1 am next day)	Fox Sports Tonight (ends 1 am next day)
Monday	Tuesday	Wednesday	Thursday	Friday
